location,row,col,ecc,orientation,hit_rate_s1,cr_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,cr_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,cr_rate_s3,response_time_s3,sd_response_time_s3,hit_rate_s4,cr_rate_s4,response_time_s4,sd_response_time_s4,hit_rate,cr_rate,acc_rate,n_present,n_absent,response_time,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,cr_rate_2p5,cr_rate_97p5,acc_rate_2p5,acc_rate_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,response_time_2p5,response_time_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,1.0,1.0,0.2427,0.0442,1.0,1.0,0.201,0.0648,1.0,1.0,0.2882,0.0611,1.0,0.8667,0.2717,0.1173,1.0,0.9683,0.9833,57,63,0.285,0.2566,0.3107,4.2308,0.9828,1.0,1.0,0.918,1.0,0.9583,1.0,3.7798,4.7878,0.9706,0.9917,0.2696,0.3014,0.2366,0.2782,0.2898,0.3333
2,600,840,4.0,0.0,0.9091,0.625,0.3707,0.0693,0.8235,0.7692,0.3304,0.0651,0.7647,0.9231,0.416,0.0854,0.8333,0.9444,0.3432,0.0866,0.8382,0.8462,0.8417,68,52,0.3937,0.3671,0.4284,2.0073,0.8422,0.7465,0.9206,0.7414,0.9375,0.775,0.9,1.5251,2.6814,0.7771,0.91,0.3755,0.4125,0.3482,0.3866,0.3963,0.4619
3,600,1080,8.0,0.0,0.5,0.6667,0.4083,0.0428,0.5789,0.9091,0.325,0.0725,0.7692,0.8824,0.5879,0.1542,0.4,0.95,0.3419,0.0944,0.5667,0.8667,0.7167,60,60,0.4203,0.4098,0.4309,1.2787,0.7387,0.4386,0.6933,0.7761,0.9483,0.6333,0.8,0.8056,1.884,0.6565,0.8269,0.3984,0.4436,0.3771,0.4453,0.4023,0.4618
4,808,960,6.9295,0.0834,0.8,0.9333,0.3585,0.0647,0.8333,0.7222,0.3631,0.0601,0.8636,0.625,0.4634,0.0849,0.8333,0.9444,0.3318,0.0427,0.8361,0.8305,0.8333,61,59,0.4079,0.392,0.4244,1.9346,0.8333,0.7391,0.9242,0.7313,0.9219,0.7667,0.9,1.4556,2.5727,0.7666,0.9008,0.3887,0.4284,0.3707,0.4141,0.3927,0.4596
5,1016,840,8.0,0.1667,0.6923,0.7059,0.4013,0.0799,0.7857,0.8125,0.4093,0.0915,0.7143,0.75,0.5352,0.1188,0.5333,0.9333,0.387,0.171,0.6786,0.7969,0.7417,56,64,0.4372,0.433,0.4409,1.2942,0.7412,0.5517,0.8,0.6935,0.8923,0.6583,0.8167,0.8189,1.8386,0.6589,0.821,0.4151,0.4601,0.3987,0.4691,0.4121,0.4706
6,1016,600,6.9295,0.25,0.8333,0.9444,0.3612,0.0476,0.7222,0.8333,0.4694,0.0788,0.4167,0.8889,0.3856,0.1002,0.7778,0.9167,0.3408,0.0877,0.7,0.9,0.8,60,60,0.4081,0.3924,0.4238,1.806,0.8167,0.5806,0.8136,0.8167,0.9677,0.725,0.875,1.3135,2.5273,0.7443,0.8968,0.3914,0.4252,0.3687,0.4166,0.4008,0.4466
7,1016,360,8.0,0.3333,0.9444,0.8333,0.4305,0.1179,0.7333,1.0,0.4507,0.1462,0.8824,0.8462,0.4814,0.1849,0.8333,0.6667,0.3457,0.0922,0.8529,0.8462,0.85,68,52,0.4258,0.4253,0.4264,2.0692,0.8496,0.7631,0.9306,0.74,0.9388,0.7833,0.9083,1.57,2.7602,0.7838,0.9162,0.4022,0.4498,0.3914,0.4595,0.3943,0.4595
8,808,240,6.9295,0.4166,0.7333,0.8667,0.4488,0.0944,0.6875,0.8571,0.4243,0.1436,0.5714,0.875,0.4154,0.1044,0.6429,1.0,0.3561,0.0672,0.661,0.9016,0.7833,59,61,0.4183,0.4122,0.4241,1.7062,0.8032,0.5373,0.7818,0.8209,0.9683,0.7083,0.8583,1.2154,2.4002,0.7283,0.8849,0.3996,0.4383,0.3856,0.4404,0.3975,0.4534
9,808,480,4.0,0.3333,0.7647,0.9231,0.3464,0.0868,0.9375,1.0,0.395,0.056,1.0,1.0,0.5413,0.0814,1.0,1.0,0.3328,0.2014,0.9219,0.9821,0.95,64,56,0.3949,0.4008,0.3882,3.518,0.9607,0.8478,0.9831,0.94,1.0,0.9083,0.9833,2.8383,4.2316,0.9221,0.9828,0.3714,0.4192,0.3678,0.4361,0.3551,0.4233
10,808,720,4.0,0.1667,0.875,0.8571,0.3696,0.07,0.8947,0.8182,0.3956,0.0775,0.75,0.7778,0.4862,0.2678,0.8889,1.0,0.348,0.1332,0.8615,0.8545,0.8583,65,55,0.4065,0.3927,0.4228,2.1434,0.8581,0.7714,0.9403,0.7541,0.9423,0.7917,0.9167,1.6436,2.8347,0.7944,0.9218,0.3851,0.4318,0.361,0.4331,0.3957,0.4518
