location,row,col,ecc,orientation,hit_rate_s1,cr_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,cr_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,cr_rate_s3,response_time_s3,sd_response_time_s3,hit_rate_s4,cr_rate_s4,response_time_s4,sd_response_time_s4,hit_rate,cr_rate,acc_rate,n_present,n_absent,response_time,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,cr_rate_2p5,cr_rate_97p5,acc_rate_2p5,acc_rate_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,response_time_2p5,response_time_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,1.0,0.9286,0.4076,0.0804,1.0,0.9167,0.4212,0.1367,1.0,0.9286,0.4573,0.0873,1.0,1.0,0.3459,0.0335,1.0,0.94,0.975,70,50,0.4242,0.4048,0.4514,4.0048,0.9774,1.0,1.0,0.8636,1.0,0.9417,1.0,3.5508,4.7711,0.9621,0.9915,0.4019,0.4498,0.3835,0.4295,0.4079,0.4999
2,600,840,4.0,0.0,1.0,0.9412,0.5019,0.1997,1.0,0.9231,0.3884,0.1717,1.0,1.0,0.4398,0.0515,0.9474,1.0,0.3524,0.137,0.9846,0.9636,0.975,65,55,0.4636,0.4132,0.5231,3.9546,0.976,0.95,1.0,0.9074,1.0,0.9417,1.0,3.2201,4.7838,0.9463,0.9916,0.4317,0.4993,0.3784,0.4529,0.4729,0.579
3,600,1080,8.0,0.0,0.7333,0.9333,0.5872,0.2052,0.8333,0.8333,0.3972,0.1274,0.7333,0.8,0.4071,0.0767,1.0,0.85,0.2763,0.093,0.8103,0.8548,0.8333,58,62,0.4563,0.4281,0.4827,1.9366,0.8336,0.7069,0.9074,0.76,0.9365,0.7667,0.9,1.4542,2.5723,0.7664,0.9008,0.4273,0.4867,0.3871,0.4739,0.4441,0.5241
4,808,960,6.9295,0.0834,0.9444,0.6667,0.4285,0.1124,0.9091,0.7895,0.3784,0.0933,0.9286,0.9375,0.3758,0.1086,0.9333,0.9333,0.4125,0.123,0.931,0.8387,0.8833,58,62,0.4494,0.4022,0.4936,2.4727,0.8918,0.8596,0.9839,0.7407,0.9242,0.825,0.9333,1.9477,3.3165,0.8349,0.9514,0.4218,0.4792,0.3751,0.4314,0.4501,0.5417
5,1016,840,8.0,0.1667,0.7333,0.8,0.6126,0.1784,0.8571,0.8125,0.4364,0.1602,0.6471,0.9231,0.3773,0.1279,0.8333,0.6667,0.49,0.2265,0.7656,0.8036,0.7833,64,56,0.5034,0.4771,0.5336,1.579,0.7851,0.6604,0.8654,0.6949,0.9032,0.7083,0.8583,1.1081,2.1602,0.7102,0.86,0.4685,0.5392,0.4311,0.5257,0.4838,0.5867
6,1016,600,6.9295,0.25,0.6,0.8667,0.5049,0.2012,0.9091,0.9474,0.4932,0.1569,0.7857,1.0,0.4208,0.1442,0.8235,1.0,0.4924,0.1475,0.7719,0.9524,0.8667,57,63,0.5018,0.4783,0.523,2.4136,0.8862,0.6604,0.875,0.8929,1.0,0.8083,0.925,1.8726,3.2214,0.8254,0.9464,0.4665,0.5383,0.4376,0.5216,0.4676,0.5815
7,1016,360,8.0,0.3333,0.2381,0.7778,0.5552,0.3084,0.7778,0.6667,0.4227,0.0855,0.4444,0.8333,0.4525,0.1588,0.4167,0.8889,0.5731,0.2707,0.4638,0.8039,0.6083,69,51,0.4908,0.497,0.4824,0.7648,0.6489,0.3478,0.5797,0.6875,0.9074,0.5167,0.6917,0.291,1.3264,0.5578,0.7464,0.4559,0.5296,0.4459,0.5536,0.4385,0.5321
8,808,240,6.9295,0.4166,0.8667,0.7333,0.4727,0.1732,0.8571,0.625,0.3856,0.152,0.8462,0.8235,0.3879,0.0938,0.9412,0.8462,0.2989,0.0716,0.8814,0.7541,0.8167,59,61,0.4124,0.3833,0.4406,1.8692,0.825,0.7925,0.9615,0.6418,0.8594,0.75,0.8833,1.3915,2.5439,0.7567,0.8983,0.3833,0.444,0.3481,0.4201,0.3947,0.4904
9,808,480,4.0,0.3333,1.0,0.75,0.2996,0.0793,1.0,0.625,0.4031,0.1492,1.0,0.8667,0.2676,0.046,0.9167,0.9444,0.284,0.1289,0.9818,0.8,0.8833,55,65,0.3984,0.3138,0.4699,2.9345,0.9288,0.94,1.0,0.697,0.8955,0.825,0.9417,2.2974,3.5159,0.8747,0.9606,0.3641,0.4347,0.2849,0.3469,0.4175,0.5261
10,808,720,4.0,0.1667,1.0,1.0,0.5737,0.3132,1.0,0.875,0.4522,0.2516,0.9333,0.9333,0.4101,0.1262,1.0,1.0,0.3669,0.0798,0.9836,0.9492,0.9667,61,59,0.4884,0.448,0.5303,3.7714,0.9703,0.9464,1.0,0.8852,1.0,0.9333,0.9917,3.1035,4.5227,0.9396,0.9881,0.4471,0.5345,0.3979,0.5065,0.4687,0.6029
