location,row,col,ecc,orientation,hit_rate_s1,cr_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,cr_rate_s2,response_time_s2,sd_response_time_s2,hit_rate_s3,cr_rate_s3,response_time_s3,sd_response_time_s3,hit_rate_s4,cr_rate_s4,response_time_s4,sd_response_time_s4,hit_rate,cr_rate,acc_rate,n_present,n_absent,response_time,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,cr_rate_2p5,cr_rate_97p5,acc_rate_2p5,acc_rate_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,response_time_2p5,response_time_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.9091,1.0,0.3342,0.1691,1.0,1.0,0.3291,0.1098,1.0,0.9091,0.3191,0.1457,1.0,0.8333,0.2113,0.084,0.9762,0.9474,0.9625,42,38,0.2846,0.289,0.2797,3.6006,0.9641,0.9211,1.0,0.8649,1.0,0.9125,1.0,2.7999,4.4803,0.9192,0.9875,0.2612,0.3096,0.2503,0.3322,0.2566,0.3056
2,600,840,4.0,0.0,1.0,0.9167,0.3096,0.0865,1.0,0.8889,0.1996,0.0448,1.0,0.8333,0.2577,0.1036,1.0,0.9091,0.2089,0.055,1.0,0.8864,0.9375,36,44,0.2888,0.2393,0.3292,3.4078,0.9558,1.0,1.0,0.7843,0.9756,0.875,0.9875,2.9697,4.1981,0.9312,0.9821,0.2668,0.3118,0.2148,0.2683,0.2993,0.3607
3,600,1080,8.0,0.0,0.2222,0.9091,0.3099,0.0976,1.0,0.9375,0.285,0.0448,0.6,0.8,0.3517,0.1092,0.6923,1.0,0.2668,0.0697,0.5833,0.9091,0.7625,36,44,0.2968,0.3032,0.2916,1.5456,0.7802,0.4211,0.7429,0.814,0.9787,0.6625,0.85,0.9465,2.3907,0.682,0.884,0.2772,0.3176,0.2748,0.3345,0.265,0.3209
4,808,960,6.9295,0.0834,0.8333,0.9286,0.3502,0.1181,0.8571,1.0,0.3311,0.0667,0.5714,1.0,0.2792,0.096,0.5455,0.4444,0.2915,0.0712,0.6579,0.8571,0.7625,38,42,0.3022,0.3035,0.3009,1.4743,0.7695,0.5,0.8049,0.7442,0.9524,0.6625,0.85,0.893,2.2184,0.6724,0.8663,0.2796,0.3253,0.2755,0.3318,0.2669,0.3383
5,1016,840,8.0,0.1667,0.5556,0.7273,0.3247,0.0583,0.7273,0.5556,0.3473,0.1483,0.5385,0.5714,0.3547,0.1938,0.5,0.8,0.3559,0.1727,0.5814,0.6757,0.625,43,37,0.3606,0.3468,0.3767,0.6611,0.6295,0.4359,0.7292,0.5238,0.8235,0.5125,0.725,0.1142,1.2751,0.5228,0.7381,0.33,0.3923,0.3048,0.3954,0.3348,0.4213
6,1016,600,6.9295,0.25,0.25,0.8333,0.331,0.1267,0.6154,0.5714,0.4459,0.1367,0.375,0.8333,0.4561,0.1807,0.3636,0.6667,0.312,0.1155,0.425,0.75,0.5875,40,40,0.3683,0.3882,0.3484,0.4854,0.5959,0.2727,0.5814,0.6061,0.878,0.475,0.6875,-0.0869,1.1114,0.4827,0.7108,0.3341,0.4041,0.342,0.4347,0.2994,0.405
7,1016,360,8.0,0.3333,0.6667,0.625,0.3596,0.1116,0.75,0.6667,0.2955,0.1051,0.4,0.8,0.3012,0.1281,0.5455,0.7778,0.3147,0.1561,0.5854,0.7179,0.65,41,39,0.3543,0.3208,0.3896,0.7924,0.654,0.4324,0.7347,0.5714,0.8571,0.5375,0.75,0.2424,1.4311,0.5482,0.7629,0.3202,0.3918,0.2834,0.3598,0.3338,0.4554
8,808,240,6.9295,0.4166,0.8,0.9,0.3995,0.1483,0.8889,0.8182,0.2985,0.1162,0.5714,0.9231,0.2956,0.0806,0.4444,1.0,0.2828,0.0932,0.6857,0.9111,0.8125,35,45,0.346,0.3227,0.3641,1.8314,0.8201,0.5278,0.8333,0.8222,0.9796,0.725,0.9,1.2381,2.7087,0.7321,0.9122,0.3157,0.3798,0.2847,0.3646,0.3184,0.4147
9,808,480,4.0,0.3333,1.0,0.9091,0.2456,0.0746,0.8889,0.9091,0.2966,0.0605,0.5714,1.0,0.2725,0.0837,1.0,0.875,0.2792,0.0737,0.8919,0.9302,0.9125,37,43,0.2909,0.274,0.3056,2.7142,0.9126,0.7838,0.975,0.8421,1.0,0.85,0.9625,2.0541,3.6868,0.8478,0.9674,0.2728,0.3101,0.2518,0.2979,0.2788,0.3346
10,808,720,4.0,0.1667,1.0,1.0,0.2478,0.0893,0.875,1.0,0.3353,0.1256,0.9,0.9,0.2855,0.0803,1.0,1.0,0.207,0.0458,0.95,0.975,0.9625,40,40,0.293,0.2625,0.3236,3.6048,0.9643,0.875,1.0,0.9149,1.0,0.9125,1.0,2.8521,4.4803,0.9231,0.9875,0.2714,0.3168,0.2355,0.2927,0.2928,0.3592
11,600,360,4.0,0.5,1.0,0.7273,0.2618,0.0862,0.9167,0.875,0.2756,0.1117,0.9091,1.0,0.2727,0.1259,1.0,0.9,0.2588,0.0635,0.9524,0.8684,0.9125,42,38,0.2824,0.2679,0.2983,2.7873,0.9183,0.878,1.0,0.755,0.9706,0.85,0.9625,2.1232,3.6899,0.8558,0.9675,0.2591,0.3065,0.2398,0.2979,0.2622,0.3373
12,600,120,8.0,0.5,0.5,1.0,0.3185,0.0336,0.5,0.75,0.3008,0.1053,0.5556,1.0,0.3953,0.1574,0.6667,0.9091,0.267,0.0664,0.5588,0.9348,0.775,34,46,0.2977,0.3189,0.282,1.6604,0.7968,0.3889,0.7273,0.8537,1.0,0.675,0.8625,1.0216,2.5256,0.6952,0.8967,0.2763,0.3197,0.2819,0.3591,0.2574,0.3069
