location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.0526,0.8421,0.0,0.0,0.6947,0.3331,0.9091,0.0909,0.0,0.0,0.486,0.0785,0.5122,0.439,0.0,0.0,0.0488,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,41,771,0.5827,0.5356,0.9851,0.6888,0.3571,0.6667,0.2895,0.5952,0.0,0.0,0.0,0.0,0.0,0.125,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,0.5738,1.3964,0.6129,0.7575,0.5106,0.6658,0.5125,0.5591
2,600,840,4.0,0.0,0.8889,0.0741,0.0027,0.0023,0.7878,0.188,0.9375,0.0625,0.0025,0.0,0.5221,0.0869,0.907,0.0698,0.0026,0.0012,0.0233,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,43,771,0.6889,0.5356,2.2769,0.8725,0.8108,0.9796,0.0,0.1556,0.0,0.0066,0.0,0.0037,0.0,0.0784,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,1.8278,3.0265,0.8196,0.9349,0.6296,0.7516,0.5125,0.5591
3,600,1080,8.0,0.0,0.6471,0.3529,0.0136,0.0092,0.8481,0.2251,0.7333,0.2667,0.0,0.0,0.6065,0.2721,0.6875,0.3125,0.0065,0.0048,0.0,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,32,771,0.7349,0.5356,1.4433,0.7647,0.52,0.8485,0.1515,0.48,0.0013,0.0129,0.0012,0.0099,0.0,0.0,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,0.9979,1.9888,0.6911,0.84,0.6387,0.8297,0.5125,0.5591
4,808,960,6.9295,0.0834,0.6667,0.1667,0.0,0.0,0.9701,0.412,0.5769,0.3462,0.0025,0.0025,0.6126,0.2531,0.6136,0.2727,0.0013,0.0012,0.1136,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,44,771,0.7589,0.5356,1.2433,0.7329,0.4706,0.7551,0.1489,0.4103,0.0,0.004,0.0,0.0037,0.025,0.2128,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,0.8697,1.6522,0.6682,0.7956,0.6547,0.8708,0.5125,0.5591
5,1016,840,8.0,0.1667,0.0667,0.6667,0.0054,0.0023,0.7055,0.3823,0.1053,0.7895,0.0,0.0,0.4241,0.3031,0.0882,0.7353,0.0026,0.0012,0.1765,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,34,771,0.5483,0.5356,-0.3972,0.4213,0.0,0.1944,0.5789,0.8788,0.0,0.0066,0.0,0.0037,0.0571,0.3182,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,,0.1175,0.0,0.5234,0.435,0.6757,0.5125,0.5591
6,1016,600,6.9295,0.25,0.2609,0.6522,0.0027,0.0023,0.7558,0.4228,0.2381,0.6667,0.0,0.0,0.537,0.3428,0.25,0.6591,0.0013,0.0012,0.0909,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,44,771,0.6514,0.5356,0.28,0.5557,0.125,0.3846,0.5179,0.8,0.0,0.004,0.0,0.0037,0.02,0.1861,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,-0.203,0.6761,0.4596,0.6323,0.5411,0.7759,0.5125,0.5591
7,1016,360,8.0,0.3333,0.0526,0.6842,0.0,0.0023,0.8197,0.4502,0.125,0.875,0.0,0.0,0.4389,0.3071,0.0857,0.7714,0.0,0.0012,0.1429,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,35,771,0.6456,0.5356,-0.4131,0.4182,0.0,0.1905,0.6216,0.9062,0.0,0.0,0.0,0.0037,0.0312,0.2703,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,,0.0947,0.0,0.5189,0.5115,0.798,0.5125,0.5591
8,808,240,6.9295,0.4166,0.6154,0.1923,0.0054,0.0046,0.8282,0.2267,0.68,0.32,0.0025,0.0,0.6498,0.2132,0.6471,0.2549,0.0039,0.0024,0.098,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,51,771,0.7407,0.5356,1.3319,0.7473,0.5111,0.7755,0.14,0.381,0.0,0.009,0.0,0.0061,0.0217,0.1875,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,0.9719,1.7256,0.6865,0.8059,0.6756,0.805,0.5125,0.5591
9,808,480,4.0,0.3333,0.9583,0.0,0.0545,0.0254,0.6497,0.1487,1.0,0.0,0.0297,0.0126,0.517,0.0944,0.9792,0.0,0.0415,0.0193,0.0208,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,48,771,0.5834,0.5356,2.9914,0.9326,0.9298,1.0,0.0,0.0,0.0281,0.0561,0.0106,0.0292,0.0,0.0702,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,2.4164,3.3691,0.8865,0.954,0.5465,0.6257,0.5125,0.5591
10,808,720,4.0,0.1667,0.9286,0.0357,0.0327,0.0092,0.6849,0.1266,1.0,0.0,0.005,0.0076,0.5528,0.1188,0.9623,0.0189,0.0182,0.0084,0.0189,0.5923,0.3366,0.8301,0.1699,0.0712,0.7069,53,771,0.6226,0.5356,2.7321,0.914,0.9032,1.0,0.0,0.0638,0.0092,0.0285,0.0025,0.0151,0.0,0.0645,0.5583,0.6253,0.3048,0.3696,0.8029,0.8564,0.1436,0.1971,0.054,0.0892,0.6844,0.7288,2.2348,3.3524,0.8681,0.9531,0.586,0.6604,0.5125,0.5591
