location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,1.0,0.0,0.0,0.0,0.5967,0.0977,0.8667,0.1333,0.0,0.0,0.5319,0.1184,0.9444,0.0556,0.0,0.0,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,36,592,0.5697,0.3531,3.1554,0.9427,0.8571,1.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,2.6057,3.8319,0.9037,0.9723,0.5328,0.6052,0.3377,0.37
2,600,840,4.0,0.0,0.7857,0.2143,0.0,0.0,0.6086,0.2359,1.0,0.0,0.0065,0.0103,0.735,0.1066,0.88,0.12,0.0034,0.0049,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,25,592,0.6642,0.3531,2.7372,0.9144,0.7273,1.0,0.0,0.2727,0.0,0.0086,0.0,0.0113,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,2.165,3.5543,0.8605,0.9622,0.5828,0.7409,0.3377,0.37
3,600,1080,8.0,0.0,0.5,0.5,0.0,0.0032,0.6823,0.3291,0.3846,0.6154,0.0,0.0034,0.6596,0.4114,0.4545,0.5455,0.0,0.0033,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,33,592,0.6733,0.3531,1.448,0.7655,0.2812,0.6296,0.3704,0.7188,0.0,0.0,0.0,0.0084,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,0.9654,1.9266,0.6853,0.8323,0.5546,0.7967,0.3377,0.37
4,808,960,6.9295,0.0834,0.6923,0.3077,0.0106,0.0,0.8533,0.4352,0.3846,0.6154,0.0032,0.0,0.5338,0.3488,0.5385,0.4615,0.0068,0.0,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,26,592,0.6935,0.3531,1.6587,0.7966,0.3333,0.7333,0.2667,0.6667,0.0016,0.014,0.0,0.0,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,1.1186,2.2159,0.712,0.8661,0.5285,0.8578,0.3377,0.37
5,1016,840,8.0,0.1667,0.0714,0.7857,0.0,0.0,0.4528,0.3767,0.1765,0.7059,0.0097,0.0034,0.6227,0.4634,0.129,0.7419,0.0051,0.0016,0.129,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,31,592,0.546,0.3531,0.4312,0.5854,0.0278,0.2609,0.5758,0.8889,0.0,0.0116,0.0,0.0051,0.0286,0.2593,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,-0.3822,0.9539,0.4242,0.6833,0.4031,0.7041,0.3377,0.37
6,1016,600,6.9295,0.25,0.0,0.9,0.0,0.0032,0.4025,0.2931,0.0,1.0,0.0,0.0,0.2981,0.0295,0.0,0.9394,0.0,0.0016,0.0606,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,33,592,0.3613,0.3531,-inf,0.0,0.0,0.0,0.8438,1.0,0.0,0.0,0.0,0.0051,0.0,0.1562,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,,,0.0,0.0,0.2987,0.452,0.3377,0.37
7,1016,360,8.0,0.3333,0.0,0.9091,0.0035,0.0,0.3743,0.2532,0.0,0.8,0.0065,0.0034,0.4285,0.2687,0.0,0.8571,0.0051,0.0016,0.1429,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,21,592,0.4001,0.3531,-inf,0.0,0.0,0.0,0.6842,1.0,0.0,0.0117,0.0,0.0051,0.0,0.3158,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,,,0.0,0.0,0.3038,0.5222,0.3377,0.37
8,808,240,6.9295,0.4166,0.6923,0.3077,0.007,0.0,0.7534,0.3467,0.5625,0.4375,0.0,0.0034,0.7848,0.4745,0.6207,0.3793,0.0034,0.0016,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,29,592,0.7707,0.3531,1.8695,0.825,0.4348,0.8,0.2,0.5652,0.0,0.0086,0.0,0.0051,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,1.3828,2.4274,0.7553,0.8876,0.6184,0.9232,0.3377,0.37
9,808,480,4.0,0.3333,0.9286,0.0714,0.0141,0.0095,0.6643,0.1821,0.6875,0.3125,0.0032,0.0,0.5713,0.2201,0.8,0.2,0.0084,0.0049,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,30,592,0.6147,0.3531,2.4038,0.8853,0.6429,0.931,0.069,0.3571,0.0017,0.0167,0.0,0.0113,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,1.9001,3.0881,0.829,0.9387,0.5375,0.6867,0.3377,0.37
10,808,720,4.0,0.1667,1.0,0.0,0.0141,0.0127,0.7371,0.1368,0.7333,0.2667,0.0032,0.0034,0.6259,0.2123,0.8667,0.1333,0.0084,0.0082,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,30,592,0.6815,0.3531,2.673,0.9093,0.7333,0.9722,0.0278,0.2667,0.0017,0.0166,0.0017,0.0161,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,2.1645,3.509,0.8604,0.9603,0.6136,0.7451,0.3377,0.37
11,600,360,4.0,0.5,0.9167,0.0833,0.0141,0.0032,0.7283,0.1955,1.0,0.0,0.0,0.0034,0.7163,0.1123,0.9643,0.0357,0.0068,0.0033,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,28,592,0.7214,0.3531,3.3649,0.9538,0.8788,1.0,0.0,0.1212,0.0016,0.0139,0.0,0.0084,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,2.7147,3.8186,0.9127,0.9719,0.6688,0.7787,0.3377,0.37
12,600,120,8.0,0.5,0.2778,0.6111,0.0035,0.0,0.7066,0.4864,0.1111,0.8889,0.0,0.0,0.4042,0.2974,0.2222,0.7037,0.0017,0.0,0.0741,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,27,592,0.6058,0.3531,0.7975,0.655,0.0714,0.3913,0.5217,0.875,0.0,0.0052,0.0,0.0,0.0,0.1875,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,0.0861,1.3228,0.5172,0.7458,0.4423,0.7833,0.3377,0.37
13,392,240,6.9295,0.5834,0.1,0.9,0.0,0.0,0.4158,0.2631,0.2609,0.6957,0.0,0.0,0.5586,0.3472,0.186,0.7907,0.0,0.0,0.0233,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,43,592,0.4921,0.3531,0.6696,0.6311,0.075,0.3111,0.6596,0.907,0.0,0.0,0.0,0.0,0.0,0.0789,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,0.1147,1.1119,0.5229,0.7109,0.4027,0.5935,0.3377,0.37
14,392,480,4.0,0.6667,0.5882,0.4118,0.0,0.0,0.6014,0.2617,0.8667,0.1333,0.0,0.0,0.6793,0.1987,0.7188,0.2812,0.0,0.0,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,32,592,0.6379,0.3531,2.1413,0.8578,0.5556,0.875,0.125,0.4444,0.0,0.0,0.0,0.0,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,1.6656,2.7376,0.7975,0.9145,0.5535,0.7181,0.3377,0.37
15,392,720,4.0,0.8333,0.8125,0.1875,0.007,0.0063,0.6228,0.1896,0.8095,0.1905,0.0032,0.0034,0.6562,0.1976,0.8108,0.1892,0.0051,0.0049,0.0,0.4572,0.5049,0.9409,0.0591,0.0378,0.6958,37,592,0.6417,0.3531,2.4431,0.8891,0.6765,0.9318,0.0682,0.3235,0.0,0.0117,0.0,0.0114,0.0,0.0,0.4172,0.4968,0.4648,0.5452,0.921,0.959,0.041,0.079,0.0232,0.0535,0.67,0.7217,1.9958,3.0741,0.8408,0.9379,0.5799,0.703,0.3377,0.37
