session,location,response_location,reaction_time
1,6,17,0.7325
1,15,0,0.5801
1,16,19,1.4745
1,0,0,0.6486
1,0,0,0.3726
1,0,15,0.6425
1,9,9,0.9374
1,0,0,0.6441
1,2,0,1.548
1,14,0,0.4256
1,17,17,0.8915
1,4,4,0.8878
1,0,19,1.5333
1,0,0,0.4868
1,0,0,0.6018
1,18,18,0.9159
1,0,0,0.4797
1,0,0,0.4019
1,0,0,0.5394
1,0,0,0.6422
1,15,15,0.6048
1,0,0,0.5392
1,11,0,0.3843
1,0,0,0.3347
1,16,16,0.7465
1,0,0,0.2806
1,1,1,0.2065
1,0,0,0.6262
1,0,0,0.6202
1,15,15,0.3963
1,0,0,0.3648
1,0,0,0.3401
1,16,16,0.6975
1,0,0,0.3284
1,0,0,0.4821
1,2,2,0.5739
1,5,0,0.3247
1,0,0,0.3665
1,0,0,0.3543
1,11,11,0.436
1,1,1,0.4793
1,12,12,0.7245
1,0,0,0.8826
1,0,0,0.9205
1,0,0,0.6593
1,12,12,0.715
1,6,0,0.4187
1,6,0,0.3381
1,16,16,0.9835
1,0,0,0.3557
1,0,0,0.5165
1,6,0,0.416
1,15,15,0.622
1,15,15,0.4885
1,0,0,0.3705
1,11,11,0.5962
1,11,0,0.555
1,6,0,0.3523
1,0,0,0.4526
1,17,0,0.4903
1,0,0,0.3325
1,3,0,0.5207
1,3,0,0.532
1,14,14,0.6451
1,2,0,0.4554
1,0,17,0.8038
1,0,0,0.4684
1,0,0,0.4222
1,5,9,0.86
1,3,3,0.6936
1,0,0,0.5083
1,15,0,0.4519
1,0,19,0.8499
1,0,0,0.5436
1,0,0,0.5121
1,8,0,0.407
1,0,0,0.8196
1,12,3,0.853
1,0,17,0.6973
1,6,0,0.3906
1,0,0,0.424
1,0,0,0.546
1,0,0,0.5002
1,12,0,0.4755
1,13,13,0.8954
1,10,10,0.5528
1,0,0,0.3959
1,0,0,0.34
1,0,0,0.4742
1,6,0,0.4424
1,1,0,0.3541
1,16,16,0.8505
1,9,9,0.6631
1,12,18,0.8245
1,0,0,0.9077
1,16,0,0.5521
1,5,19,0.9496
1,15,15,0.4862
1,0,0,0.3825
1,0,0,0.3842
1,3,3,0.7602
1,12,0,0.3524
1,14,14,0.6508
1,0,0,0.2966
1,1,0,0.622
1,5,0,0.6528
1,0,0,0.5029
1,0,0,0.3218
1,0,0,0.3678
1,4,4,1.0339
1,5,0,0.6883
1,14,0,0.4281
1,0,19,1.3016
1,14,14,0.5363
1,0,0,0.3526
1,0,0,0.4721
1,0,0,0.3878
1,1,1,0.2643
1,0,0,0.3818
1,16,16,0.6763
1,19,19,0.7642
1,10,10,0.7605
1,0,0,0.3519
1,18,0,0.5008
1,0,0,0.4159
1,0,16,0.8545
1,0,0,0.3285
1,0,0,0.3104
1,0,0,0.76
1,5,0,0.3224
1,7,0,0.3464
1,0,0,0.3611
1,5,0,0.3541
1,9,9,0.5557
1,0,0,0.8599
1,0,0,0.426
1,16,16,0.6964
1,0,0,0.4025
1,13,13,0.742
1,0,0,0.3769
1,11,11,0.5298
1,16,0,0.537
1,0,0,0.372
1,16,0,0.5559
1,0,19,1.804
1,2,2,0.4581
1,0,4,0.8648
1,0,0,0.5622
1,3,3,0.5884
1,12,12,0.521
1,7,0,0.5178
1,0,0,0.4981
1,0,0,0.3666
1,13,13,0.712
1,7,0,0.4789
1,8,0,0.424
1,7,0,0.4726
1,0,0,0.3307
1,0,0,0.4928
1,0,0,0.404
1,0,10,1.0243
1,0,6,1.0241
1,0,0,0.478
1,5,5,0.764
1,0,0,0.5199
1,0,0,1.6567
1,16,0,0.8301
1,0,0,0.4658
1,14,14,0.5446
1,19,19,0.5799
1,9,9,0.465
1,0,0,0.3667
1,12,0,0.7105
1,0,14,0.7302
1,0,0,1.0695
1,0,0,0.8465
1,0,18,0.7488
1,0,0,0.4386
1,0,0,0.3765
1,0,0,0.3747
1,8,0,0.3861
1,17,1,0.5141
1,0,0,0.3838
1,0,0,0.496
1,14,14,1.0445
1,0,0,0.6931
1,17,0,0.5406
1,0,0,0.4962
1,9,9,0.6253
1,2,2,0.496
1,5,0,0.3641
1,0,14,0.7752
1,0,0,0.3341
1,8,0,0.4842
1,0,0,0.3037
1,0,0,0.3637
1,7,0,0.3362
1,14,14,0.5635
1,16,0,0.4368
1,0,1,0.5279
1,19,19,0.7065
1,3,0,0.37
1,12,5,0.7083
1,18,19,0.6022
1,0,0,0.8957
1,8,0,0.7355
1,17,0,0.4808
1,1,1,0.5054
1,0,0,0.4418
1,7,9,0.9341
1,12,0,0.447
1,0,0,0.5799
1,11,11,0.3902
1,0,1,0.9517
1,15,15,0.6045
1,8,0,0.4761
1,0,0,0.4741
