session,location,response_location,reaction_time
1,0,0,0.5516
1,0,4,0.9265
1,14,14,0.7226
1,0,0,0.3444
1,19,0,0.3046
1,0,0,0.3586
1,6,0,0.3683
1,0,0,0.3552
1,11,0,0.5741
1,0,0,0.3201
1,0,0,0.5865
1,19,10,0.9238
1,0,0,0.3172
1,0,9,0.8748
1,6,0,0.4342
1,10,10,0.7202
1,8,8,0.9406
1,19,0,0.2709
1,12,0,0.3504
1,0,0,0.2663
1,0,0,0.9522
1,9,9,0.8437
1,0,0,0.2679
1,15,15,0.7383
1,0,0,0.2945
1,19,0,0.25
1,11,11,0.6738
1,15,15,0.8296
1,15,15,0.548
1,0,0,0.3008
1,0,0,0.3922
1,0,0,0.252
1,19,0,0.3886
1,18,0,0.2628
1,9,9,0.5965
1,6,0,0.2747
1,0,0,0.8245
1,0,0,0.2501
1,0,0,0.2738
1,3,0,1.1022
1,0,0,0.3127
1,0,0,0.4245
1,0,10,0.9665
1,8,8,0.8323
1,0,0,0.7602
1,19,0,0.2428
1,0,0,0.3127
1,16,16,0.8285
1,0,0,0.2985
1,4,0,0.2182
1,10,10,0.6662
1,19,0,0.2411
1,6,0,0.2491
1,4,0,0.2045
1,13,0,0.2124
1,1,1,0.5163
1,3,0,0.451
1,15,15,0.6462
1,0,0,0.2645
1,9,9,0.5246
2,0,0,0.3525
2,17,0,0.3027
2,0,10,0.9804
2,0,0,0.2948
2,0,0,0.2954
2,19,0,0.3306
2,18,0,0.3779
2,0,0,0.4836
2,1,1,0.5859
2,0,0,0.4284
2,4,0,0.3726
2,0,0,0.6325
2,18,0,0.4203
2,17,0,0.3882
2,0,2,1.0542
2,0,0,0.316
2,13,0,0.32
2,14,14,0.6504
2,5,0,0.4262
2,0,0,0.5298
2,0,0,0.4802
2,13,0,0.3281
2,2,2,0.7458
2,12,0,0.3587
2,0,0,0.348
2,13,2,0.8004
2,14,14,0.7213
2,0,0,0.3278
2,0,0,0.2921
2,0,0,0.3684
2,0,0,0.2602
2,9,9,0.7138
2,0,0,0.2781
2,7,0,0.1989
2,0,0,0.218
2,2,2,0.6483
2,0,0,0.3139
2,1,1,0.3904
2,2,2,0.7725
2,12,0,0.188
2,0,0,0.22
2,12,0,0.2611
2,13,0,0.5037
2,0,0,0.3322
2,0,0,0.2426
2,0,0,0.2798
2,14,14,0.9277
2,13,13,0.9496
2,0,0,0.3002
2,3,0,0.3103
2,0,0,0.3203
2,0,0,0.262
2,0,0,0.2433
2,0,0,0.3705
2,5,0,0.2482
2,0,0,0.3159
2,0,0,0.305
2,13,0,0.3661
2,17,0,0.3701
2,9,9,0.7157
1,6,0,0.3341
1,15,15,0.5847
1,16,0,0.2815
1,6,0,0.4163
1,0,0,0.3037
1,0,0,0.3074
1,0,0,0.2755
1,0,0,0.2821
1,12,12,1.2604
1,0,0,0.2984
1,0,0,0.454
1,0,0,0.2888
1,13,0,0.5904
1,18,0,0.338
