session,location,response_location,reaction_time
1,11,11,0.9863
1,9,9,0.7968
1,0,0,0.514
1,13,13,0.9672
1,15,15,0.9771
1,0,9,0.7203
1,0,5,0.8631
1,0,16,1.13
1,6,0,0.6957
1,6,6,0.6741
1,3,0,1.2116
1,18,5,0.8013
1,0,0,0.6973
1,0,0,0.6847
1,6,6,0.8418
1,12,12,0.8242
1,16,16,0.7715
1,0,0,0.4917
1,0,0,0.5742
1,0,9,0.7879
1,10,10,0.6296
1,7,0,0.6736
1,0,6,0.8021
1,0,16,0.9158
1,5,6,1.3432
1,0,9,0.9119
1,0,0,0.3379
1,0,0,0.3757
1,3,0,0.7025
1,18,0,0.4637
1,8,0,1.0539
1,16,9,1.3753
1,0,3,1.5114
1,19,10,0.963
1,0,0,0.608
1,0,0,0.6145
1,13,0,0.6101
1,0,0,0.6754
1,0,0,0.5327
1,0,0,0.7237
1,8,8,1.0098
1,0,8,0.7606
1,0,0,0.4723
1,18,0,0.4867
1,14,14,0.646
1,0,13,0.7511
1,8,8,0.6415
1,0,0,0.3666
1,0,0,0.4367
1,1,0,0.335
1,0,0,0.421
1,15,15,0.6084
1,10,10,0.6909
1,0,13,0.9457
1,0,0,0.3972
1,1,0,0.8496
1,0,13,0.9529
1,0,0,0.6736
1,19,8,1.5213
1,0,0,0.5131
1,11,0,0.9127
1,0,9,1.2953
1,16,16,0.7576
1,11,11,0.8933
1,13,13,0.7681
1,0,10,0.8428
1,19,0,0.5905
1,3,3,1.0481
1,0,16,1.0654
1,0,0,0.492
1,0,0,0.5581
1,15,15,1.1887
1,19,0,0.5225
1,1,9,1.1433
1,0,0,0.8177
1,0,0,0.5244
1,3,3,0.9502
1,8,8,0.9621
1,2,2,0.7404
1,0,0,0.4665
2,9,9,0.7126
2,12,0,0.2815
2,0,0,0.3531
2,0,0,0.3504
2,0,0,0.2787
2,1,0,0.4639
2,15,15,0.4586
2,0,0,0.3429
2,13,0,0.241
2,0,0,0.2789
2,0,0,0.2111
2,0,0,0.9003
2,0,0,0.3258
2,6,0,0.2954
2,0,0,0.3543
2,0,0,0.4529
2,1,1,0.5026
2,18,0,0.5347
2,0,0,0.4668
2,4,9,1.1302
2,16,16,0.687
2,5,0,0.4149
2,0,0,0.3989
2,0,0,0.4622
2,16,16,1.5894
2,7,0,0.435
2,8,8,0.9735
2,0,0,0.3189
2,0,0,0.3326
2,0,0,0.3228
2,15,15,0.6135
2,5,5,0.7861
2,14,14,0.4903
2,0,0,0.3093
2,0,0,0.2808
2,13,13,1.2179
2,14,14,0.5484
2,6,9,0.6497
2,0,0,0.3009
2,14,14,0.3968
2,0,10,0.7786
2,9,9,0.614
2,0,0,0.2467
2,17,0,0.2192
2,0,0,0.2008
2,16,16,0.5424
2,0,0,0.1584
2,0,9,0.6806
2,6,6,0.9484
2,0,0,0.3404
2,0,0,0.2112
2,0,0,0.2499
2,0,0,0.1768
2,15,15,0.6014
2,11,11,0.7028
2,9,9,0.5157
2,19,0,0.2668
2,3,3,0.59
2,14,14,0.6362
2,16,16,0.6368
2,0,0,0.322
2,7,0,0.207
2,0,0,0.2134
2,17,0,0.1861
2,0,0,0.2224
2,8,8,0.6205
2,6,0,0.203
2,15,15,0.4916
2,0,0,0.2947
2,0,0,0.2839
2,0,0,0.2207
2,16,16,0.4609
2,5,0,0.1871
2,0,0,0.2062
2,0,0,0.1486
2,0,0,0.1669
2,13,0,0.1335
2,0,0,0.1194
2,11,11,0.4416
2,9,9,0.4352
1,15,15,0.6515
1,0,0,0.3723
1,0,0,0.4297
1,18,0,0.4982
1,14,14,0.7155
1,0,0,0.4774
1,0,0,0.4163
1,11,0,0.3738
1,0,0,0.4135
1,0,0,0.5274
1,1,0,1.3093
1,18,0,0.4426
1,0,0,0.542
1,3,0,0.5007
1,0,16,0.9298
1,19,0,0.5786
1,2,0,0.684
1,0,0,0.7681
