session,location,response_location,reaction_time
1,15,15,1.3064
1,0,0,0.556
1,0,0,0.8235
1,0,0,0.7941
1,0,0,1.0404
1,14,0,0.6308
1,19,0,0.6062
1,0,15,1.0576
1,0,0,0.8727
1,0,0,0.6264
1,18,18,1.5335
1,17,0,0.8216
1,0,0,1.182
1,3,0,0.5482
1,2,0,0.0
1,18,18,1.2339
1,5,0,0.5858
1,0,15,1.145
1,18,15,0.9423
1,0,5,1.6013
1,6,0,0.709
1,10,10,1.0377
1,7,15,1.2483
1,0,10,0.931
1,0,8,1.0459
1,0,0,0.3896
1,0,0,0.5939
1,17,0,0.9388
1,15,15,0.7583
1,0,11,0.9164
1,13,14,1.1349
1,17,1,0.9906
1,14,14,0.6621
1,14,14,0.6231
1,13,13,0.9969
1,0,0,0.6019
1,0,0,0.8438
1,0,12,1.1533
1,13,8,0.8602
1,11,11,0.7235
1,7,0,0.8108
1,0,0,0.3639
1,0,0,0.408
1,19,0,0.4022
1,0,9,0.8014
1,1,1,0.5738
1,0,0,0.311
1,0,0,0.4158
1,0,0,0.3626
1,8,0,0.5765
1,6,0,0.4322
1,17,9,1.0176
1,10,0,0.3527
1,0,0,0.308
1,2,9,0.6542
1,13,0,0.8658
1,0,0,0.5202
1,0,0,0.4879
1,0,0,0.9085
1,0,0,0.5741
1,15,15,0.6122
1,0,0,0.322
1,0,14,0.7024
1,0,10,0.8338
1,15,15,0.5449
1,17,0,0.844
1,3,0,1.4087
1,11,11,0.7359
1,14,14,0.6017
1,0,9,1.336
1,7,0,0.3922
1,13,13,0.7903
1,18,0,0.4871
1,3,3,0.8531
1,0,0,0.4487
1,15,15,0.5967
1,1,1,0.5237
1,0,14,0.7943
1,17,10,0.5956
1,9,9,1.0715
2,13,13,0.7229
2,0,10,0.7035
2,15,15,0.7037
2,0,0,0.2788
2,9,9,0.568
2,18,0,0.4564
2,0,0,0.6163
2,1,1,0.4977
2,0,0,0.3834
2,0,0,0.5569
2,9,9,0.7739
2,16,16,0.9139
2,0,0,0.3903
2,12,0,0.3705
2,9,9,0.6683
2,0,0,0.3325
2,0,0,0.305
2,0,0,0.6465
2,0,0,0.3681
2,10,10,0.7388
2,0,0,0.3032
2,0,0,0.3068
2,0,0,0.2764
2,0,0,0.2765
2,0,0,0.303
2,7,0,0.2979
2,0,0,0.3561
2,0,0,0.3203
2,0,0,0.2851
2,0,0,0.2507
2,0,0,0.2344
2,2,2,0.5142
2,0,0,0.3726
2,0,0,0.2984
2,18,0,0.2807
2,0,0,0.3108
2,14,14,0.6441
2,13,13,1.0367
2,7,0,0.3564
2,9,9,0.6739
2,6,0,0.5326
2,19,0,0.3849
2,0,0,0.3718
2,13,0,0.3582
2,12,0,0.3496
2,16,0,0.4148
2,0,0,0.5449
2,0,0,0.5027
2,9,9,0.589
2,17,0,0.3683
2,14,14,0.643
2,0,0,0.5744
2,0,0,0.3929
2,0,0,0.3469
2,4,4,0.6061
2,12,12,0.7281
2,0,0,0.2986
2,12,0,0.4142
2,4,0,0.4411
2,0,0,0.3803
2,0,0,0.4638
2,13,13,0.8016
2,0,0,0.4031
2,14,14,0.7172
2,0,0,0.3962
2,0,0,0.3203
2,18,0,0.5182
2,19,0,0.3386
2,0,0,0.4155
2,3,3,1.2904
2,0,0,0.3115
2,0,0,0.365
2,0,0,0.3442
2,0,0,0.3471
2,3,0,0.2711
2,0,0,0.3114
2,0,0,0.3982
2,15,15,0.8997
2,0,14,0.9365
2,2,2,0.5044
1,13,13,0.8029
1,0,10,1.4944
1,0,14,0.8055
1,4,0,0.9258
1,0,8,0.9546
1,0,0,0.9084
1,19,15,0.8601
1,0,14,0.7336
1,3,0,0.7762
1,0,0,1.3556
1,0,0,1.0482
1,8,8,0.9105
1,0,0,0.6983
1,19,14,0.6379
1,0,0,0.6963
1,14,14,0.5498
1,0,0,0.4582
1,17,14,0.7811
1,7,14,1.7905
1,3,0,0.4262
1,12,0,0.0
1,0,0,1.2962
1,6,0,0.419
1,0,0,0.4845
1,19,0,0.5184
1,0,0,0.5459
1,0,0,0.3441
1,0,0,0.6141
1,7,0,0.6982
1,0,0,0.5443
1,0,0,0.5325
1,0,8,1.1566
1,0,0,0.322
1,4,4,1.2214
1,0,0,0.5866
1,0,0,0.5588
1,10,10,1.0118
1,0,10,0.9859
1,15,15,0.5417
1,19,0,0.6867
1,11,0,0.3171
1,0,0,0.2447
1,0,0,0.2104
1,0,0,0.4266
1,5,0,0.2305
1,0,0,0.4085
1,3,0,0.5066
1,0,0,0.4302
1,0,0,0.6097
1,0,0,0.2591
1,12,12,0.7025
1,0,0,0.3036
1,14,14,0.7678
1,9,9,0.504
1,11,11,0.5827
1,10,10,0.8677
1,0,0,0.3322
1,8,8,0.9975
1,0,0,0.3282
1,0,0,0.3907
1,10,10,0.8016
1,0,0,0.5115
1,0,0,0.3262
1,18,0,0.3339
1,0,0,0.4097
1,0,0,0.2683
1,0,0,0.8741
1,0,0,0.3482
1,4,0,0.3003
1,0,0,0.3608
1,1,1,0.6037
1,3,0,0.5479
1,0,0,0.3106
1,9,9,0.7934
1,5,0,0.6395
1,0,0,0.3127
1,11,11,0.7619
1,0,0,0.3025
1,0,0,0.3885
1,15,15,0.9204
2,0,0,0.6733
2,11,11,0.6299
2,19,0,0.3764
2,8,0,0.3624
2,17,0,0.2609
2,5,0,0.3418
2,0,0,0.3941
2,10,10,0.6937
2,0,0,0.3561
2,0,0,0.373
2,0,0,0.2494
2,0,0,0.217
2,0,0,0.3487
2,0,0,0.3443
2,5,5,1.0692
2,6,6,0.9426
2,0,0,0.3867
2,2,2,0.647
2,0,0,0.4806
2,0,0,0.7035
2,0,0,0.4222
2,9,9,0.5696
2,0,0,0.4845
2,11,11,0.8261
2,0,0,0.4599
2,0,0,0.389
2,4,0,0.3382
2,15,15,0.5863
2,18,0,0.4026
