session,location,response_location,reaction_time
1,0,0,1.238
1,12,0,0.4848
1,0,0,0.5031
1,66,66,0.6086
1,26,26,0.7558
1,0,0,0.4247
1,85,0,0.3361
1,0,0,0.5178
1,21,21,0.7109
1,0,0,0.3126
1,63,63,0.5537
1,7,0,0.6301
1,29,0,0.61
1,0,0,0.3662
1,39,19,0.747
1,79,0,1.2277
1,90,0,0.3027
1,0,79,0.8738
1,46,0,0.2666
1,43,43,0.5081
1,57,0,0.6216
1,67,67,0.5205
1,71,0,0.6867
1,48,48,0.6603
1,0,0,0.7605
1,0,0,0.3288
1,59,59,0.5404
1,0,0,0.2802
1,90,0,0.4001
1,27,27,0.5628
1,0,0,0.4199
1,33,0,0.3964
1,0,23,0.7699
1,0,0,0.3821
1,34,34,0.7729
1,0,0,0.3244
1,51,0,0.3141
1,0,0,0.4384
1,0,69,0.9282
1,0,0,0.2939
1,0,0,0.3567
1,52,53,0.836
1,71,0,0.2764
1,60,60,0.6545
1,68,0,0.2699
1,59,59,0.9322
1,0,0,0.3301
1,10,0,0.463
1,0,0,0.3485
1,91,79,1.576
1,0,0,0.314
1,0,0,0.2624
1,0,0,0.4121
1,0,0,0.2988
1,65,65,0.7365
1,0,0,0.3366
1,0,0,0.3885
1,90,0,0.2765
1,0,0,0.3464
1,85,0,0.4265
1,0,0,0.3523
1,40,40,0.4519
1,0,0,0.284
1,0,0,0.3479
1,63,0,0.3422
1,0,0,0.3042
1,0,0,0.3181
1,70,70,0.6481
1,0,0,0.3061
1,51,0,0.3615
1,0,0,0.3347
1,19,0,0.3768
1,0,59,0.9453
1,14,0,0.5545
1,53,53,0.4488
1,0,70,0.8491
1,0,91,1.3242
1,0,0,0.4425
1,0,0,0.2547
1,0,0,0.2469
1,0,0,0.3328
1,55,55,0.4682
1,0,0,0.2201
1,0,0,0.2584
1,55,55,0.4501
1,0,0,0.267
1,74,74,0.7951
1,15,0,0.3721
1,16,0,0.2144
1,58,0,0.3729
1,61,61,0.4586
1,0,0,0.4148
1,0,0,0.2583
1,0,0,0.3226
1,0,0,0.2159
1,13,13,0.91
1,58,0,0.2456
1,0,0,0.5382
1,0,0,0.41
1,0,18,0.9183
1,34,34,0.7716
1,0,0,0.309
1,0,0,0.2102
1,0,20,0.8495
1,9,0,0.2875
1,14,0,0.2866
1,0,0,0.2901
1,25,25,0.4627
1,0,0,0.2198
1,0,0,0.221
1,0,0,0.2124
1,0,0,0.2364
1,0,0,0.2522
1,0,0,0.3562
1,20,20,0.8017
1,0,0,0.2343
1,0,0,0.1928
1,8,0,0.2809
1,0,0,0.3025
1,69,0,0.5383
1,48,48,0.6564
1,12,0,0.2133
1,76,76,0.4664
1,50,50,0.7199
1,68,0,0.282
1,0,0,0.3726
1,71,0,0.2263
1,0,0,0.4458
1,39,39,0.4944
1,0,0,0.1868
1,0,20,0.9511
1,47,0,0.2825
1,0,0,0.4384
1,29,0,0.2361
1,27,27,0.5383
1,0,0,0.2211
1,0,0,0.1703
1,69,69,0.7116
1,21,21,0.7205
1,16,0,0.2031
1,80,80,0.8024
1,3,0,0.1624
1,0,82,0.5539
1,34,0,0.4405
1,13,0,0.2586
1,0,0,0.3023
1,49,49,0.462
1,0,0,0.3224
1,25,25,0.5286
1,0,0,0.2921
1,70,70,0.5886
1,11,0,0.2103
1,0,0,0.2212
1,0,0,0.3286
