location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.7463,0.209,0.0,0.0,0.5077,0.1866,0.9167,0.0833,0.0049,0.0,0.4637,0.1099,0.8268,0.1496,0.0025,0.0,0.0236,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,127,794,0.4869,0.3681,2.3425,0.8793,0.7586,0.8909,0.0894,0.2143,0.0,0.0064,0.0,0.0,0.0,0.0538,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,2.0732,2.6593,0.85,0.9082,0.4608,0.5149,0.3531,0.3834
2,600,840,4.0,0.0,0.9508,0.0492,0.0077,0.0,0.5124,0.0986,0.9184,0.0816,0.0025,0.0,0.5034,0.0927,0.9364,0.0636,0.005,0.0,0.0,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,110,794,0.5084,0.3681,2.926,0.9283,0.8876,0.9798,0.0202,0.1124,0.0012,0.0104,0.0,0.0,0.0,0.0,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,2.5965,3.4435,0.9029,0.9574,0.4906,0.5264,0.3531,0.3834
3,600,1080,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
4,808,960,6.9295,0.0834,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
5,1016,840,8.0,0.1667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
6,1016,600,6.9295,0.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
7,1016,360,8.0,0.3333,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
8,808,240,6.9295,0.4166,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,0,794,,0.3681,,,,,,,0.0,0.0,0.0,0.0,,,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,,,,,,,0.3531,0.3834
9,808,480,4.0,0.3333,0.9254,0.0746,0.0257,0.0049,0.5805,0.2125,0.9259,0.0741,0.0173,0.0,0.5096,0.1353,0.9256,0.0744,0.0214,0.0025,0.0,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,121,794,0.5488,0.3681,2.8449,0.9226,0.8761,0.9683,0.0317,0.1239,0.012,0.0321,0.0,0.0063,0.0,0.0,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,2.5349,3.2904,0.8975,0.95,0.5188,0.5846,0.3531,0.3834
10,808,720,4.0,0.1667,0.9286,0.0714,0.0154,0.0024,0.538,0.1033,0.8871,0.1129,0.0099,0.0,0.5131,0.1388,0.9068,0.0932,0.0126,0.0012,0.0,0.9119,0.0831,0.9194,0.0806,0.005,0.9156,118,794,0.5249,0.3681,2.7222,0.9133,0.8516,0.9561,0.0439,0.1484,0.0051,0.0207,0.0,0.0038,0.0,0.0,0.8917,0.9311,0.0646,0.1029,0.8996,0.9376,0.0624,0.1004,0.0012,0.0103,0.9019,0.9288,2.4193,3.1327,0.8868,0.9414,0.5033,0.5483,0.3531,0.3834
