location,row,col,ecc,orientation,hit_rate_s1,miss_rate_s1,fa_rate_s1,fht_rate_s1,response_time_s1,sd_response_time_s1,hit_rate_s2,miss_rate_s2,fa_rate_s2,fht_rate_s2,response_time_s2,sd_response_time_s2,hit_rate,miss_rate,fa_rate,fht_rate,fhf_rate,hit_all,miss_all,cr_all,fa_all,fh_all,acc_all,n_present,n_absent_all,present_response_time,absent_response_time,dp,pc_max,hit_rate_2p5,hit_rate_97p5,miss_rate_2p5,miss_rate_97p5,fa_rate_2p5,fa_rate_97p5,fht_rate_2p5,fht_rate_97p5,fhf_rate_2p5,fhf_rate_97p5,hit_all_2p5,hit_all_97p5,miss_all_2p5,miss_all_97p5,cr_all_2p5,cr_all_97p5,fa_all_2p5,fa_all_97p5,fh_all_2p5,fh_all_97p5,acc_all_2p5,acc_all_97p5,dp_2p5,dp_97p5,pc_max_2p5,pc_max_97p5,present_response_time_2p5,present_response_time_97p5,absent_response_time_2p5,absent_response_time_97p5
1,600,600,0.0,-1.0,0.975,0.025,0.0064,0.0,0.608,0.076,0.9474,0.0526,0.0066,0.0,0.5644,0.1452,0.9615,0.0385,0.0065,0.0,0.0,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,78,619,0.5868,0.3374,3.4287,0.9568,0.9125,1.0,0.0,0.0875,0.0016,0.0133,0.0,0.0,0.0,0.0,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,2.9824,4.1447,0.932,0.9809,0.562,0.6131,0.3249,0.3504
2,600,840,4.0,0.0,0.9149,0.0851,0.0,0.0,0.7212,0.1974,0.9118,0.0882,0.0066,0.0,0.6654,0.1399,0.9136,0.0864,0.0032,0.0,0.0,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,81,619,0.6978,0.3374,3.0231,0.9347,0.8481,0.9714,0.0286,0.1519,0.0,0.0083,0.0,0.0,0.0,0.0,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,2.6571,3.5805,0.908,0.9633,0.6594,0.7365,0.3249,0.3504
3,600,1080,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
4,808,960,6.9295,0.0834,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
5,1016,840,8.0,0.1667,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
6,1016,600,6.9295,0.25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
7,1016,360,8.0,0.3333,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
8,808,240,6.9295,0.4166,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,0,619,,0.3374,,,,,,,0.0,0.0,0.0,0.0,,,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,,,,,,,0.3249,0.3504
9,808,480,4.0,0.3333,0.641,0.2821,0.0096,0.0035,0.6461,0.2115,0.8649,0.1351,0.0098,0.0,0.701,0.1945,0.75,0.2105,0.0097,0.0017,0.0395,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,76,619,0.6728,0.3374,2.3344,0.8784,0.6494,0.8442,0.1216,0.3065,0.0031,0.0183,0.0,0.0053,0.0,0.0896,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,1.9979,2.7266,0.8411,0.9136,0.6273,0.7176,0.3249,0.3504
10,808,720,4.0,0.1667,0.825,0.175,0.0127,0.0,0.681,0.1921,0.8182,0.1818,0.0033,0.0,0.6646,0.1955,0.8214,0.1786,0.0081,0.0,0.0,0.8279,0.1652,0.9515,0.0485,0.0069,0.8917,84,619,0.6724,0.3374,2.5807,0.9015,0.7349,0.8987,0.1013,0.2651,0.0016,0.016,0.0,0.0,0.0,0.0,0.797,0.8583,0.1353,0.1954,0.9338,0.9675,0.0325,0.0662,0.0017,0.0142,0.8742,0.9092,2.2534,2.9792,0.8701,0.9318,0.6307,0.7132,0.3249,0.3504
