location,ecc,orientation,ecc_ring,hit_rate_session1,miss_rate_session1,hit_rate,miss_rate,fa_rate,n_present
1,0.0,-1.0,1,1.0,0.0,1.0,0.0,0.0,10
2,2.1954,0.0,2,1.0,0.0,1.0,0.0,0.0,18
3,4.3909,0.0,3,1.0,0.0,1.0,0.0,0.0,10
4,6.5863,0.0,4,0.7857142857142857,0.21428571428571427,0.7857142857142857,0.21428571428571427,0.0,14
5,8.7818,0.0,5,0.631578947368421,0.3684210526315789,0.631578947368421,0.3684210526315789,0.00117096018735363,19
6,7.9209,0.0385,5,0.8823529411764706,0.11764705882352941,0.8823529411764706,0.11764705882352941,0.0,17
7,7.6,0.0831,5,0.8,0.2,0.8,0.2,0.0,10
8,7.912,0.1278,5,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.0,15
9,8.7818,0.1665,5,0.5,0.5,0.5,0.5,0.00117096018735363,6
10,7.6158,0.2052,5,0.5333333333333333,0.4,0.5333333333333333,0.4,0.00117096018735363,15
11,7.6,0.25,5,0.4375,0.4375,0.4375,0.4375,0.00117096018735363,16
12,7.6158,0.2948,5,0.5,0.4,0.5,0.4,0.00351288056206089,10
13,8.7818,0.3335,5,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.00702576112412178,11
14,7.912,0.3722,5,0.6923076923076923,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.00117096018735363,13
15,6.5863,0.3335,4,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.2857142857142857,0.00117096018735363,14
16,5.8052,0.2803,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,9
17,5.8052,0.2197,4,0.9375,0.0625,0.9375,0.0625,0.0,16
18,6.5863,0.1665,4,0.9,0.1,0.9,0.1,0.00117096018735363,10
19,4.3909,0.1665,3,0.9375,0.0625,0.9375,0.0625,0.00117096018735363,16
20,5.8052,0.1134,4,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.00117096018735363,14
21,3.8,0.0831,3,0.625,0.3125,0.625,0.3125,0.0,16
22,5.8138,0.0529,4,0.7647058823529411,0.23529411764705882,0.7647058823529411,0.23529411764705882,0.0,17
23,2.1954,0.1665,2,0.8,0.15,0.8,0.15,0.0,20
24,3.8,0.25,3,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.0,11
25,4.3909,0.3335,3,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.0,13
26,5.8052,0.3866,4,0.9,0.1,0.9,0.1,0.00117096018735363,10
27,7.6,0.4169,5,0.625,0.25,0.625,0.25,0.0,16
28,7.9209,0.4615,5,0.6666666666666666,0.25,0.6666666666666666,0.25,0.0,12
29,5.8138,0.4471,4,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.2727272727272727,0.0,11
30,3.8,0.4169,3,0.7272727272727273,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.0,11
31,2.1954,0.3335,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,9
32,2.1954,0.5,2,1.0,0.0,1.0,0.0,0.0,5
33,4.3909,0.5,3,0.8666666666666667,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0,15
34,6.5863,0.5,4,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.00117096018735363,12
35,8.7818,0.5,5,0.5,0.4375,0.5,0.4375,0.00117096018735363,16
36,7.9209,0.5385,5,0.625,0.375,0.625,0.375,0.00234192037470726,8
37,5.8138,0.5529,4,1.0,0.0,1.0,0.0,0.00234192037470726,8
38,3.8,0.5831,3,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.0,11
39,2.1954,0.6665,2,0.9090909090909091,0.0,0.9090909090909091,0.0,0.0,11
40,2.1954,0.8335,2,1.0,0.0,1.0,0.0,0.0,11
41,3.8,0.9169,3,1.0,0.0,1.0,0.0,0.0,13
42,5.8138,0.9471,4,0.8421052631578947,0.15789473684210525,0.8421052631578947,0.15789473684210525,0.00234192037470726,19
43,7.9209,0.9615,5,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,11
44,7.6,0.9169,5,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.00234192037470726,11
45,5.8052,0.8866,4,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,15
46,4.3909,0.8335,3,0.7,0.2,0.7,0.2,0.00117096018735363,10
47,3.8,0.75,3,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.0,13
48,4.3909,0.6665,3,1.0,0.0,1.0,0.0,0.0,10
49,5.8052,0.6134,4,0.8181818181818182,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.00234192037470726,11
50,7.6,0.5831,5,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.00117096018735363,12
51,7.912,0.6278,5,0.5,0.5,0.5,0.5,0.00117096018735363,10
52,6.5863,0.6665,4,0.625,0.375,0.625,0.375,0.00351288056206089,8
53,5.8052,0.7197,4,0.5,0.4166666666666667,0.5,0.4166666666666667,0.0,12
54,5.8052,0.7803,4,0.5,0.5,0.5,0.5,0.0,8
55,6.5863,0.8335,4,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.00234192037470726,12
56,7.912,0.8722,5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.0,6
57,8.7818,0.8335,5,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,12
58,7.6158,0.7948,5,0.2,0.7,0.2,0.7,0.0,10
59,7.6,0.75,5,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,6
60,7.6158,0.7052,5,0.0,1.0,0.0,1.0,0.0,13
61,8.7818,0.6665,5,0.1111111111111111,0.8333333333333334,0.1111111111111111,0.8333333333333334,0.00117096018735363,18
