session,amplitude,presence,response_presence,reaction_time
1,3.5,0,0,0.6581
1,3.5,1,1,0.5803
1,3.5,1,1,0.3202
1,3.5,1,1,0.3939
1,3.5,0,0,0.5119
1,3.5,0,0,0.4409
1,3.5,1,1,0.3646
1,3.5,0,0,0.5379
1,3.5,0,1,0.7075
1,3.5,0,0,0.5736
1,3.5,1,1,0.3877
1,3.5,0,0,0.5316
1,3.5,0,0,0.5635
1,3.5,1,1,0.4199
1,3.5,1,1,0.4956
1,3.5,1,1,0.3943
1,3.5,1,1,0.3685
1,3.5,1,1,0.3417
1,3.5,1,1,0.2605
1,3.5,1,1,0.3839
2,3.5,0,0,0.383
2,3.5,0,0,0.9996
2,3.5,0,0,0.4982
2,3.5,0,0,0.4819
2,3.5,1,1,0.4299
2,3.5,1,1,0.3362
2,3.5,0,0,0.3617
2,3.5,1,1,0.328
2,3.5,0,0,0.5451
2,3.5,1,0,0.4109
2,3.5,1,1,0.2806
2,3.5,1,1,0.2842
2,3.5,0,0,0.4377
2,3.5,0,0,0.48
2,3.5,0,0,2.0895
2,3.5,0,1,2.1
2,3.5,0,0,0.404
2,3.5,0,0,1.1992
2,3.5,0,0,0.8976
2,3.5,0,0,1.0033
1,3.2556,1,1,0.3739
1,3.2556,1,1,0.6359
1,3.2556,0,0,0.3602
1,3.2556,0,1,0.7514
1,3.2556,0,0,0.4298
1,3.2556,0,1,0.4642
1,3.2556,0,1,0.7883
1,3.2556,1,1,0.4898
1,3.2556,0,0,0.4177
1,3.2556,0,1,0.5095
1,3.2556,1,1,0.2802
1,3.2556,0,0,0.4096
1,3.2556,0,1,0.6219
1,3.2556,0,0,0.5236
1,3.2556,1,1,0.4577
1,3.2556,1,1,0.3181
1,3.2556,1,1,0.3396
1,3.2556,1,1,0.3382
1,3.2556,0,0,0.4257
1,3.2556,1,1,0.3342
2,3.2556,1,1,0.3728
2,3.2556,1,1,0.4204
2,3.2556,0,0,0.4005
2,3.2556,1,1,0.2741
2,3.2556,0,0,0.3582
2,3.2556,0,0,0.8614
2,3.2556,0,0,0.418
2,3.2556,0,0,0.5579
2,3.2556,0,0,0.4622
2,3.2556,0,0,0.418
2,3.2556,0,0,0.6398
2,3.2556,1,1,0.356
2,3.2556,1,1,1.2732
2,3.2556,1,1,0.2917
2,3.2556,0,0,0.4342
2,3.2556,1,1,0.4485
2,3.2556,0,0,0.3637
2,3.2556,0,1,0.9133
2,3.2556,1,1,0.3538
2,3.2556,1,1,0.2642
1,3.0111,1,1,0.4265
1,3.0111,1,1,0.3823
1,3.0111,1,0,0.9721
1,3.0111,0,0,0.5459
1,3.0111,1,1,0.3696
1,3.0111,0,0,0.4877
1,3.0111,1,1,0.6096
1,3.0111,1,1,0.368
1,3.0111,1,1,0.4282
1,3.0111,1,1,0.3837
1,3.0111,0,0,0.4836
1,3.0111,1,1,0.4482
1,3.0111,1,1,0.6995
1,3.0111,0,0,0.6116
1,3.0111,0,0,0.5023
1,3.0111,0,0,1.7829
1,3.0111,0,0,0.4478
1,3.0111,1,1,0.3477
1,3.0111,0,0,0.5166
1,3.0111,1,1,0.3722
2,3.0111,0,0,0.5754
2,3.0111,0,0,0.365
2,3.0111,0,0,0.3643
2,3.0111,0,0,0.2897
2,3.0111,0,0,0.3706
2,3.0111,0,0,0.5279
2,3.0111,0,0,0.3841
2,3.0111,0,0,0.3177
2,3.0111,1,0,0.7259
2,3.0111,0,0,0.398
2,3.0111,1,1,0.2758
2,3.0111,1,1,0.2681
2,3.0111,1,1,0.2618
2,3.0111,0,0,0.4522
2,3.0111,0,0,0.3898
2,3.0111,1,1,0.2845
2,3.0111,0,0,0.6296
2,3.0111,1,1,0.2997
2,3.0111,1,1,0.2362
2,3.0111,0,0,0.4477
1,2.7667,1,1,1.1957
1,2.7667,1,1,0.322
1,2.7667,0,0,0.3142
1,2.7667,1,1,0.2982
