session,amplitude,presence,response_presence,reaction_time
1,3.2,1,1,0.6183
1,3.2,1,1,0.4219
1,3.2,1,1,0.3106
1,3.2,1,1,0.1567
1,3.2,0,0,0.207
1,3.2,1,1,0.13
1,3.2,0,0,0.2498
1,3.2,1,1,0.122
1,3.2,1,1,0.1541
1,3.2,1,1,0.4161
1,3.2,0,0,0.4358
1,3.2,0,0,0.4438
1,3.2,1,1,0.1162
1,3.2,0,1,0.1639
1,3.2,0,0,0.3538
1,3.2,1,1,0.1372
1,3.2,1,1,0.142
1,3.2,1,1,0.0763
1,3.2,1,1,0.1002
1,3.2,0,0,0.1721
2,3.2,0,1,0.4024
2,3.2,1,1,0.1763
2,3.2,1,1,0.2032
2,3.2,0,0,0.1504
2,3.2,0,0,0.3081
2,3.2,0,1,0.2901
2,3.2,0,0,0.3078
2,3.2,1,1,0.1381
2,3.2,1,1,0.144
2,3.2,0,0,0.2278
2,3.2,1,1,0.1419
2,3.2,0,0,0.3322
2,3.2,1,1,0.1379
2,3.2,0,0,0.166
2,3.2,1,1,0.1221
2,3.2,0,1,0.1295
2,3.2,1,1,0.1819
2,3.2,0,0,0.3917
2,3.2,0,0,0.2917
2,3.2,0,0,0.2753
1,2.9222,0,0,0.4203
1,2.9222,1,1,0.1722
1,2.9222,1,1,0.1761
1,2.9222,1,1,0.15
1,2.9222,1,1,0.09
1,2.9222,1,1,0.097
1,2.9222,1,1,0.0882
1,2.9222,1,1,0.128
1,2.9222,1,1,0.094
1,2.9222,0,0,0.1919
1,2.9222,1,1,0.1543
1,2.9222,0,0,0.1179
1,2.9222,1,1,0.1008
1,2.9222,1,0,0.084
1,2.9222,1,1,0.1541
1,2.9222,1,1,0.2982
1,2.9222,0,0,0.2399
1,2.9222,0,0,0.3223
1,2.9222,0,0,0.3838
1,2.9222,1,1,0.1719
2,2.9222,1,1,0.2149
2,2.9222,1,1,0.1521
2,2.9222,1,1,0.0999
2,2.9222,1,1,0.124
2,2.9222,0,0,0.2256
2,2.9222,0,0,0.266
2,2.9222,0,0,0.3558
2,2.9222,0,1,0.3036
2,2.9222,0,0,0.2321
2,2.9222,0,1,0.3291
2,2.9222,1,0,0.2642
2,2.9222,0,0,0.2799
2,2.9222,1,0,0.312
2,2.9222,0,0,0.3046
2,2.9222,1,1,0.232
2,2.9222,1,1,0.4577
2,2.9222,1,1,0.1861
2,2.9222,0,1,0.1757
2,2.9222,1,1,0.2117
2,2.9222,1,1,0.1939
1,2.6444,0,0,0.2405
1,2.6444,1,1,0.1382
1,2.6444,0,0,0.2246
1,2.6444,1,0,0.2675
1,2.6444,0,0,0.2839
1,2.6444,0,0,0.276
1,2.6444,1,1,0.1702
1,2.6444,1,1,0.1503
1,2.6444,1,1,0.5216
1,2.6444,0,0,0.1703
1,2.6444,0,0,0.2318
1,2.6444,0,0,0.3278
1,2.6444,1,1,0.1179
1,2.6444,1,0,0.35
1,2.6444,0,0,0.3881
1,2.6444,1,1,0.2242
1,2.6444,1,0,0.1382
1,2.6444,1,0,0.4681
1,2.6444,0,0,0.2201
1,2.6444,1,1,0.1508
2,2.6444,0,0,0.2761
2,2.6444,0,1,0.2942
2,2.6444,1,1,0.2081
2,2.6444,1,1,0.2537
2,2.6444,1,1,0.2236
2,2.6444,0,0,0.2761
2,2.6444,1,1,0.1518
2,2.6444,0,0,0.1436
2,2.6444,1,1,0.1264
2,2.6444,0,0,0.2097
2,2.6444,0,1,0.1157
2,2.6444,0,0,0.2519
2,2.6444,1,1,0.2383
2,2.6444,0,0,0.186
2,2.6444,1,1,0.1374
2,2.6444,1,1,0.1528
2,2.6444,0,0,0.1783
2,2.6444,1,1,0.1101
2,2.6444,1,0,0.3162
2,2.6444,0,1,0.1508
1,2.3667,0,0,0.3297
1,2.3667,0,1,0.2323
1,2.3667,1,0,0.2519
1,2.3667,1,1,0.3758
1,2.3667,0,0,0.1819
1,2.3667,1,1,0.2179
1,2.3667,0,0,0.3497
1,2.3667,0,1,0.1544
1,2.3667,1,0,0.2078
1,2.3667,1,0,0.4097
1,2.3667,0,1,0.3099
1,2.3667,0,0,0.2299
1,2.3667,0,1,0.2738
1,2.3667,1,0,0.2302
1,2.3667,1,1,0.2637
1,2.3667,1,1,0.1839
1,2.3667,1,1,0.2961
1,2.3667,0,0,0.2318
1,2.3667,1,1,0.1699
1,2.3667,1,1,0.2158
2,2.3667,1,1,0.2304
2,2.3667,1,1,0.2263
2,2.3667,0,0,0.2318
2,2.3667,1,1,0.1206
2,2.3667,0,0,0.146
2,2.3667,0,0,0.2223
2,2.3667,0,0,0.2961
2,2.3667,1,1,0.2098
2,2.3667,1,1,0.2079
2,2.3667,1,1,0.1099
2,2.3667,0,0,0.288
2,2.3667,0,0,0.2656
2,2.3667,1,1,0.1583
2,2.3667,0,0,0.2077
2,2.3667,1,0,0.1917
2,2.3667,1,1,0.1957
2,2.3667,1,0,0.2021
2,2.3667,0,0,0.2817
2,2.3667,0,0,0.3345
2,2.3667,0,1,0.2797
1,2.0889,0,1,0.3902
1,2.0889,0,0,0.2259
1,2.0889,1,1,0.2539
1,2.0889,1,1,0.3198
1,2.0889,1,1,0.2779
1,2.0889,1,0,0.1959
1,2.0889,0,1,0.1762
1,2.0889,0,0,0.2299
1,2.0889,0,0,0.3179
1,2.0889,0,0,0.266
1,2.0889,1,0,0.4858
1,2.0889,0,0,0.3082
1,2.0889,1,0,0.1779
1,2.0889,0,1,0.3101
1,2.0889,1,1,0.3238
1,2.0889,1,0,0.2419
1,2.0889,0,0,0.3398
1,2.0889,0,1,0.2658
1,2.0889,1,0,0.1141
1,2.0889,0,1,0.3555
2,2.0889,0,0,0.204
2,2.0889,0,1,0.1937
2,2.0889,0,0,0.1394
2,2.0889,1,0,0.108
2,2.0889,1,1,0.0961
2,2.0889,0,0,0.132
2,2.0889,1,0,0.2134
2,2.0889,0,0,0.1978
2,2.0889,0,1,0.1982
2,2.0889,0,0,0.1638
2,2.0889,0,0,0.2498
2,2.0889,1,1,0.2581
2,2.0889,1,1,0.2638
2,2.0889,0,1,0.2858
2,2.0889,0,0,0.2575
2,2.0889,1,1,0.3657
2,2.0889,0,1,0.3778
2,2.0889,1,0,0.2579
2,2.0889,0,0,0.3597
2,2.0889,1,0,0.3343
1,1.8111,0,1,0.3561
1,1.8111,0,1,0.1619
1,1.8111,1,1,0.3738
1,1.8111,1,0,0.2199
1,1.8111,1,1,0.2598
1,1.8111,0,1,0.2619
1,1.8111,1,1,0.2837
1,1.8111,0,1,0.2198
1,1.8111,0,0,0.2877
1,1.8111,0,1,0.2619
1,1.8111,1,0,0.2619
1,1.8111,0,0,0.3118
1,1.8111,1,0,0.2493
1,1.8111,0,0,0.3062
1,1.8111,1,1,0.3598
1,1.8111,0,1,0.3158
1,1.8111,1,1,0.2598
1,1.8111,1,1,0.3256
1,1.8111,0,1,0.2079
1,1.8111,0,0,0.3537
2,1.8111,0,1,0.2563
2,1.8111,1,1,0.1243
2,1.8111,0,0,0.318
2,1.8111,0,1,0.3261
2,1.8111,1,0,0.3316
2,1.8111,1,1,0.2694
2,1.8111,0,1,0.3557
2,1.8111,1,1,0.3236
2,1.8111,1,1,0.3651
2,1.8111,0,1,0.3412
2,1.8111,0,1,0.3821
2,1.8111,0,1,0.3356
2,1.8111,0,0,0.3691
2,1.8111,1,1,0.3374
2,1.8111,0,1,0.2899
2,1.8111,0,0,0.2673
2,1.8111,1,1,0.2464
2,1.8111,0,0,0.2074
2,1.8111,0,1,0.2754
2,1.8111,0,1,0.1997
1,1.5333,0,0,0.3398
1,1.5333,0,0,0.3597
1,1.5333,1,0,0.3898
1,1.5333,0,0,0.3599
1,1.5333,1,1,0.3321
1,1.5333,0,0,0.3298
1,1.5333,0,0,0.3678
1,1.5333,1,1,0.3238
1,1.5333,1,0,0.2822
1,1.5333,1,0,0.3541
1,1.5333,1,0,0.2542
1,1.5333,0,0,0.4078
1,1.5333,0,0,0.3879
1,1.5333,0,0,0.334
1,1.5333,1,1,0.4357
1,1.5333,1,0,0.3498
1,1.5333,0,1,0.4239
1,1.5333,1,0,0.2978
1,1.5333,1,0,0.2244
1,1.5333,1,0,0.3079
2,1.5333,0,0,0.2793
2,1.5333,1,0,0.1974
2,1.5333,1,1,0.2037
2,1.5333,1,0,0.1637
2,1.5333,1,0,0.2753
2,1.5333,1,1,0.1593
2,1.5333,1,1,0.2821
2,1.5333,0,0,0.1984
2,1.5333,0,1,0.2114
2,1.5333,0,1,0.3136
2,1.5333,0,0,0.2541
2,1.5333,1,0,0.32
2,1.5333,0,1,0.3599
2,1.5333,1,1,0.2082
2,1.5333,0,0,0.2068
2,1.5333,0,0,0.2585
2,1.5333,1,1,0.1481
2,1.5333,1,0,0.188
2,1.5333,0,0,0.274
2,1.5333,1,0,0.2294
1,1.2556,1,0,0.436
1,1.2556,1,1,0.328
1,1.2556,0,0,0.2338
1,1.2556,0,0,0.3018
1,1.2556,0,0,0.2079
1,1.2556,0,0,0.1982
1,1.2556,1,0,0.3041
1,1.2556,0,1,0.2579
1,1.2556,1,0,0.2598
1,1.2556,0,0,0.2382
1,1.2556,0,1,0.3138
1,1.2556,1,0,0.3062
1,1.2556,1,0,0.1705
1,1.2556,1,1,0.4702
1,1.2556,0,0,0.238
1,1.2556,0,0,0.3618
1,1.2556,0,0,0.2618
1,1.2556,1,0,0.2878
1,1.2556,0,0,0.2382
1,1.2556,1,0,0.1243
2,1.2556,1,0,0.2215
2,1.2556,1,1,0.2277
2,1.2556,0,0,0.216
2,1.2556,0,0,0.3681
2,1.2556,0,0,0.3116
