session,amplitude,presence,response_presence,reaction_time
1,2.5222,1,1,0.3718
1,2.5222,0,0,0.2314
1,2.5222,1,1,0.1681
2,2.5222,0,0,0.6302
2,2.5222,1,1,0.17
2,2.5222,0,0,0.1461
2,2.5222,0,0,0.2119
2,2.5222,1,1,0.2418
2,2.5222,1,1,0.2218
2,2.5222,1,1,0.222
2,2.5222,0,0,0.332
2,2.5222,1,1,0.2679
2,2.5222,1,1,0.3938
2,2.5222,0,0,0.2259
2,2.5222,0,0,0.402
2,2.5222,1,1,0.3199
2,2.5222,0,0,0.4278
2,2.5222,0,0,0.3478
2,2.5222,0,0,0.3719
2,2.5222,1,1,0.2439
2,2.5222,1,1,0.2818
2,2.5222,0,0,0.2679
2,2.5222,0,0,0.3757
1,2.2778,1,1,0.2343
1,2.2778,1,0,0.2663
1,2.2778,1,1,0.3935
1,2.2778,0,0,0.2738
1,2.2778,0,0,0.3214
1,2.2778,0,0,0.3434
1,2.2778,0,1,0.8353
1,2.2778,0,0,0.3794
1,2.2778,0,0,0.1799
1,2.2778,0,0,0.4152
1,2.2778,0,0,0.3998
1,2.2778,0,0,0.37
1,2.2778,1,1,0.3006
1,2.2778,0,0,0.178
1,2.2778,1,1,0.3697
1,2.2778,1,0,0.5696
1,2.2778,1,1,0.4995
1,2.2778,0,0,0.29
1,2.2778,0,0,0.3278
1,2.2778,0,0,0.3651
2,2.2778,1,1,0.2617
2,2.2778,0,0,0.4056
2,2.2778,0,0,0.3598
2,2.2778,0,0,0.2259
2,2.2778,0,0,0.2592
2,2.2778,0,0,0.3276
2,2.2778,1,1,0.326
2,2.2778,1,1,0.5178
2,2.2778,1,1,0.2858
2,2.2778,0,0,0.2678
2,2.2778,1,0,0.5916
2,2.2778,1,1,0.2398
2,2.2778,0,0,0.2539
2,2.2778,0,0,0.3298
2,2.2778,1,1,0.2758
2,2.2778,0,0,0.3198
2,2.2778,0,0,0.3138
2,2.2778,1,1,0.2085
2,2.2778,0,0,0.3582
2,2.2778,0,0,0.3419
1,2.0333,0,0,0.2666
1,2.0333,1,1,0.2397
1,2.0333,1,1,0.3757
1,2.0333,1,1,0.354
1,2.0333,1,1,0.3598
1,2.0333,0,0,0.3552
1,2.0333,0,0,0.398
1,2.0333,1,1,0.3598
