session,detection_focus,location,response_location,reaction_time
1,1,0,0,0.2694
1,1,0,0,0.4231
1,1,0,0,0.3365
1,1,0,0,0.2684
1,1,1,1,0.1792
1,1,0,0,0.2739
1,1,1,1,0.2403
1,1,1,1,0.2585
1,1,0,0,0.3041
1,1,0,0,0.3223
1,1,1,1,0.2801
1,1,0,0,0.2879
1,1,1,1,0.3121
1,1,1,1,0.2141
1,1,0,0,0.2718
1,1,0,0,0.2562
1,1,0,0,0.2661
1,1,0,0,0.3937
1,1,1,1,0.3341
1,1,1,1,0.2019
1,1,0,0,0.3798
1,1,1,1,0.2797
1,1,0,0,0.5437
1,1,1,1,0.2522
1,1,1,1,0.2218
1,1,1,1,0.2319
1,1,1,1,0.2182
1,1,0,0,0.316
1,1,1,1,0.1861
1,1,1,1,0.23
2,1,1,1,0.298
2,1,0,0,0.2544
2,1,0,0,0.2625
2,1,1,1,0.31
2,1,0,0,0.2998
2,1,1,1,0.1859
2,1,1,1,0.1323
2,1,0,0,0.2178
2,1,0,0,0.2062
2,1,0,0,0.2241
2,1,0,0,0.2102
2,1,1,1,0.1721
2,1,0,0,0.1842
2,1,1,1,0.1621
2,1,0,0,0.2559
2,1,0,0,0.2159
2,1,1,1,0.22
2,1,0,0,0.1981
2,1,0,0,0.2418
2,1,0,0,0.2418
2,1,0,0,0.1962
2,1,0,0,0.2399
2,1,0,0,0.312
2,1,0,0,0.2219
2,1,0,0,0.3218
2,1,1,1,0.154
2,1,0,0,0.2939
2,1,0,0,0.2918
2,1,1,1,0.2439
2,1,1,1,0.1319
1,2,0,0,0.3481
1,2,0,0,0.5223
1,2,2,2,0.2804
1,2,2,2,0.3418
1,2,2,2,0.3418
1,2,2,2,0.4516
1,2,2,2,0.3958
1,2,2,2,0.3498
1,2,2,2,0.4198
1,2,2,2,0.422
1,2,0,0,0.4799
1,2,2,2,0.36
1,2,2,2,0.3161
1,2,2,2,0.3878
1,2,2,2,0.43
1,2,0,0,0.3678
1,2,2,2,0.4916
1,2,2,0,0.4739
1,2,0,2,0.5418
1,2,2,2,0.3759
1,2,0,2,0.5076
1,2,0,0,0.338
1,2,2,2,0.3358
1,2,0,2,0.3578
1,2,2,2,0.3798
1,2,2,0,0.4701
1,2,2,2,0.3361
1,2,2,2,0.2464
1,2,2,2,0.2718
1,2,2,2,0.2781
2,2,2,2,0.4398
2,2,2,2,0.2359
2,2,2,2,0.3099
2,2,2,2,0.2978
2,2,0,0,0.2723
2,2,0,0,0.2563
2,2,2,0,0.3461
2,2,0,0,0.1897
2,2,2,2,0.28
2,2,0,0,0.3841
2,2,2,2,0.316
2,2,0,0,0.4338
2,2,0,0,0.5237
2,2,2,2,0.2418
2,2,2,2,0.416
2,2,2,2,0.2759
2,2,2,2,0.2838
2,2,0,2,0.3401
2,2,0,2,0.5439
2,2,0,0,0.4779
2,2,2,2,0.3163
2,2,0,0,0.4041
2,2,2,2,0.383
2,2,0,0,0.3659
2,2,2,2,0.3598
2,2,2,0,0.39
2,2,2,2,0.282
2,2,2,0,0.442
2,2,0,0,0.3763
2,2,0,2,0.3719
1,3,0,0,0.4062
1,3,0,3,0.496
1,3,3,0,0.44
1,3,3,3,0.3697
1,3,3,3,0.4161
1,3,3,0,0.3937
1,3,3,0,0.462
1,3,3,0,0.424
1,3,3,3,0.3938
1,3,3,3,0.4278
1,3,3,0,0.4376
1,3,3,3,0.4142
1,3,0,0,0.3737
1,3,0,0,0.43
1,3,3,3,0.408
1,3,3,0,0.4261
1,3,3,3,0.3563
1,3,3,3,0.4996
1,3,3,0,0.3784
1,3,0,3,0.342
1,3,3,3,0.3021
1,3,3,0,0.3958
1,3,0,0,0.4495
1,3,0,3,0.404
1,3,0,0,0.3958
1,3,3,0,0.4041
1,3,0,0,0.3359
1,3,0,3,0.5637
1,3,0,0,0.4018
1,3,0,0,0.4558
2,3,3,0,0.4378
2,3,0,0,0.4597
2,3,3,3,0.2683
2,3,0,0,0.3558
2,3,3,3,0.4978
2,3,3,0,0.3698
2,3,0,0,0.4144
2,3,3,3,0.2641
2,3,3,0,0.2879
2,3,0,0,0.392
2,3,0,0,0.3821
2,3,3,3,0.232
2,3,3,3,0.2658
2,3,3,3,0.2758
2,3,0,0,0.38
2,3,3,0,0.3761
2,3,0,0,0.3261
2,3,3,3,0.2861
2,3,3,0,0.3579
2,3,3,3,0.4022
2,3,3,3,0.2705
2,3,3,0,0.2639
2,3,0,0,0.3122
2,3,3,0,0.4081
2,3,0,3,0.3961
2,3,3,0,0.3205
2,3,3,3,0.2781
2,3,0,0,0.342
2,3,0,0,0.3803
2,3,3,3,0.312
1,4,0,0,0.5197
1,4,4,4,0.3362
1,4,0,0,0.3439
1,4,0,0,0.3784
1,4,0,0,0.3678
1,4,0,0,0.4437
1,4,4,4,0.3721
1,4,4,0,0.4502
1,4,0,0,0.4428
1,4,4,0,0.3799
1,4,0,0,0.4638
1,4,4,4,0.2403
1,4,4,0,0.41
1,4,4,4,0.4921
1,4,0,0,0.4288
1,4,4,4,0.2862
1,4,4,4,0.3098
1,4,4,4,0.3738
1,4,4,4,0.3055
1,4,4,4,0.4018
1,4,4,4,0.3658
1,4,0,0,0.6656
1,4,0,0,0.4837
1,4,4,4,0.3318
1,4,0,4,0.5217
1,4,0,0,0.4321
1,4,4,4,0.3218
1,4,0,0,0.4338
1,4,0,0,0.5403
1,4,0,0,0.64
2,4,4,0,0.4242
2,4,0,4,0.33
2,4,4,4,0.4075
