session,detection_focus,location,response_location,reaction_time
1,1,1,1,0.1492
1,1,1,1,0.1977
1,1,1,1,0.0971
1,1,0,0,0.2401
1,1,1,1,0.0706
1,1,1,1,0.1231
1,1,0,0,0.1482
1,1,1,1,0.0961
1,1,0,0,0.1522
1,1,0,0,0.198
1,1,0,0,0.1619
1,1,1,1,0.1439
1,1,1,1,0.1398
1,1,1,1,0.1778
1,1,0,0,0.2577
1,1,0,0,0.242
1,1,1,1,0.1159
1,1,0,0,0.1619
1,1,0,1,0.172
1,1,0,0,0.2341
1,1,1,1,0.1239
1,1,1,1,0.1459
1,1,1,1,0.0939
1,1,0,0,0.2398
1,1,1,1,0.0881
1,1,1,1,0.1259
1,1,1,1,0.1224
1,1,0,0,0.1917
1,1,1,1,0.0437
1,1,0,0,0.1402
2,1,1,1,0.3143
2,1,0,0,0.542
2,1,0,0,0.2743
2,1,0,0,0.1939
2,1,0,0,0.1411
2,1,0,0,0.1383
2,1,0,0,0.1442
2,1,1,1,0.2203
2,1,1,1,0.1819
2,1,0,0,0.2159
2,1,1,1,0.3401
2,1,1,1,0.1779
2,1,1,1,0.118
2,1,1,1,0.1239
2,1,0,0,0.228
2,1,0,0,0.2302
2,1,1,1,0.0781
2,1,0,0,0.1979
2,1,1,1,0.1179
2,1,1,1,0.1404
2,1,1,1,0.1541
2,1,1,1,0.094
2,1,1,1,0.0562
2,1,1,1,0.1039
2,1,1,1,0.088
2,1,1,1,0.0863
2,1,1,1,0.0543
2,1,0,0,0.2601
2,1,1,1,0.0763
2,1,0,0,0.2039
3,1,0,0,0.2959
3,1,1,1,0.6057
3,1,1,1,0.2729
3,1,0,0,0.2745
3,1,0,0,0.2153
3,1,0,0,0.2059
3,1,1,1,0.2922
3,1,1,1,0.3579
3,1,1,1,0.2984
3,1,0,0,0.2242
3,1,0,0,0.2617
3,1,0,0,0.2579
3,1,0,0,0.21
3,1,1,1,0.1835
3,1,0,0,0.1881
3,1,1,1,0.0981
3,1,1,1,0.1061
3,1,0,0,0.2106
3,1,1,1,0.1077
3,1,1,1,0.1163
3,1,1,1,0.1481
3,1,0,0,0.1859
3,1,0,0,0.1979
3,1,1,1,0.2084
3,1,1,1,0.1266
3,1,1,1,0.1561
3,1,0,0,0.1602
3,1,0,0,0.1645
3,1,1,1,0.1299
3,1,1,1,0.1197
4,1,1,1,0.2829
4,1,1,1,0.134
4,1,1,1,0.1322
4,1,1,1,0.1144
4,1,1,1,0.2026
4,1,1,1,0.2076
4,1,0,0,0.252
4,1,0,0,0.1819
4,1,0,0,0.1486
4,1,0,0,0.1296
4,1,0,0,0.1441
4,1,1,1,0.1741
4,1,1,1,0.1059
4,1,1,1,0.1
4,1,0,0,0.1895
4,1,0,0,0.2501
4,1,1,1,0.1319
4,1,0,0,0.1396
4,1,0,0,0.1401
4,1,1,1,0.1365
4,1,0,0,0.162
4,1,1,1,0.0962
4,1,0,0,0.1359
4,1,0,0,0.2238
4,1,0,0,0.1796
4,1,0,0,0.1122
4,1,0,0,0.104
4,1,1,1,0.1118
4,1,1,1,0.1359
4,1,1,1,0.0939
1,2,0,0,0.218
1,2,2,2,0.1719
1,2,0,0,0.2559
1,2,2,2,0.1939
1,2,2,2,0.2957
1,2,0,0,0.2879
1,2,2,2,0.1816
1,2,2,2,0.1278
1,2,2,2,0.246
1,2,2,2,0.1359
1,2,0,0,0.3577
1,2,0,2,0.2278
1,2,2,2,0.2058
1,2,0,0,0.1838
1,2,2,2,0.164
1,2,0,0,0.2898
1,2,2,2,0.1858
1,2,2,2,0.1641
1,2,0,2,0.1119
1,2,0,0,0.2298
1,2,2,2,0.1999
1,2,2,2,0.1759
1,2,0,0,0.3559
1,2,0,2,0.3516
1,2,2,2,0.2038
1,2,2,2,0.224
1,2,0,2,0.18
1,2,0,0,0.1499
1,2,0,0,0.284
1,2,0,0,0.3018
2,2,0,0,0.2499
2,2,0,0,0.2298
2,2,0,0,0.2019
