session,detection_focus,location,response_location,reaction_time
1,1,1,1,0.3805
1,1,0,1,0.9883
1,1,1,1,0.4985
1,1,1,1,0.3168
1,1,0,0,0.4467
1,1,1,1,0.3162
1,1,1,1,0.3102
1,1,0,0,0.4
1,1,1,1,0.5878
1,1,1,1,0.3801
1,1,1,1,0.3318
1,1,1,1,0.3997
1,1,1,1,0.3739
1,1,1,1,0.4197
1,1,0,0,0.7937
1,1,0,0,0.4157
1,1,0,0,0.3978
1,1,0,0,0.3801
1,1,0,0,0.3877
1,1,0,0,0.4017
1,1,1,1,0.3963
1,1,0,0,0.3798
1,1,0,0,0.428
1,1,0,0,0.3377
1,1,1,1,0.4179
1,1,1,1,0.5437
1,1,0,0,0.3758
1,1,0,0,0.4218
1,1,1,1,0.4583
1,1,1,1,0.3898
2,1,1,1,0.862
2,1,1,1,0.4501
2,1,1,1,0.4599
2,1,1,1,0.4641
2,1,1,1,0.4458
2,1,0,1,0.9054
2,1,1,1,0.2898
2,1,0,0,0.412
2,1,1,1,0.3757
2,1,1,1,0.3277
2,1,1,1,0.3109
2,1,1,1,0.3059
2,1,1,1,0.3879
2,1,1,1,0.3381
2,1,0,0,0.4341
2,1,0,0,0.3656
2,1,0,0,0.4459
2,1,1,1,0.352
2,1,0,0,0.3601
2,1,0,0,0.3366
2,1,0,0,0.5056
2,1,0,0,0.3398
2,1,1,1,0.4121
2,1,1,1,0.3998
2,1,1,1,0.406
2,1,1,1,0.6384
2,1,0,0,0.6441
2,1,0,0,0.3907
2,1,0,0,0.2826
2,1,1,1,0.3561
3,1,0,0,0.7249
3,1,0,0,0.882
3,1,1,1,0.5482
3,1,0,0,0.5821
3,1,0,0,0.5306
3,1,1,1,0.6039
3,1,0,0,0.5097
3,1,1,1,0.548
3,1,1,1,0.5477
3,1,0,0,0.428
3,1,1,1,0.5137
3,1,1,1,0.5077
3,1,0,0,0.4457
3,1,1,1,0.4799
3,1,1,1,0.4918
3,1,1,1,0.3738
3,1,1,1,0.3498
3,1,0,1,0.7955
3,1,1,1,0.3239
3,1,0,0,0.3878
3,1,0,0,0.37
3,1,0,0,0.3618
3,1,0,0,0.2821
3,1,1,1,0.4498
3,1,1,1,0.3578
3,1,1,1,0.4538
3,1,1,1,0.4256
3,1,0,0,0.3811
3,1,1,1,0.3418
3,1,0,0,0.3998
4,1,1,1,0.3576
4,1,0,0,0.3088
4,1,1,1,0.3662
4,1,1,1,0.3583
4,1,1,1,0.2846
4,1,0,0,0.3437
4,1,0,0,0.3602
4,1,0,0,0.3838
4,1,1,1,0.3582
4,1,1,1,0.3583
4,1,0,0,0.3347
4,1,1,1,0.3743
4,1,0,0,0.4256
4,1,1,1,0.394
4,1,1,1,0.3357
4,1,1,1,0.3382
4,1,1,1,0.3057
4,1,1,1,0.3898
4,1,0,0,0.3338
4,1,0,0,0.342
4,1,0,0,0.3101
4,1,1,1,0.3601
4,1,1,1,0.3059
4,1,1,1,0.3224
4,1,1,1,0.3178
4,1,0,0,0.3699
4,1,1,1,0.3722
4,1,1,1,0.3898
4,1,1,1,0.3459
4,1,1,1,0.2825
1,2,0,0,0.7359
1,2,0,0,0.5041
1,2,0,0,0.6017
1,2,2,2,0.7596
1,2,2,2,0.3818
1,2,0,0,0.461
1,2,0,0,0.4645
1,2,2,2,0.46
1,2,2,2,1.0713
1,2,2,2,0.4183
1,2,0,0,0.52
1,2,2,2,0.3838
1,2,0,0,0.456
1,2,0,2,1.4032
1,2,0,0,0.4239
1,2,0,0,0.4461
1,2,0,0,0.7137
1,2,2,2,0.5217
1,2,2,2,0.3702
1,2,2,2,0.3921
1,2,0,0,1.1194
1,2,0,0,0.4882
1,2,0,0,0.53
1,2,0,0,0.868
1,2,0,0,0.5261
1,2,2,2,0.414
1,2,0,0,0.6019
1,2,2,2,0.5097
1,2,2,2,0.4318
1,2,2,2,0.4098
2,2,0,0,0.6239
2,2,2,2,0.3581
2,2,0,0,0.3547
2,2,2,2,0.3581
2,2,2,2,0.31
2,2,2,2,0.2775
2,2,0,0,0.33
2,2,2,2,0.3461
2,2,2,2,0.3399
2,2,0,0,0.3718
2,2,2,2,0.2698
2,2,2,2,0.3377
2,2,0,0,0.4022
2,2,2,2,0.3606
2,2,0,0,0.6159
2,2,2,2,0.3661
2,2,2,2,0.308
2,2,0,0,0.4625
2,2,2,2,0.3223
2,2,0,0,0.3599
2,2,0,0,0.3497
2,2,0,0,0.4637
2,2,2,2,0.3545
2,2,2,2,0.3801
2,2,0,2,1.0734
2,2,2,2,0.5977
2,2,0,0,0.6276
