session,location,response_location,reaction_time
1,53,0,0.5824
1,0,0,0.5568
1,50,50,0.8367
1,0,0,0.5518
1,47,47,1.0123
1,6,0,0.3589
1,0,27,0.9457
1,10,0,0.4683
1,0,0,0.5645
1,0,0,1.0264
1,48,48,0.9458
1,0,0,0.6336
1,24,24,0.9779
1,0,0,0.4482
1,6,0,0.6205
1,0,0,0.4657
1,0,0,0.6236
1,0,0,0.864
1,0,0,0.5945
1,0,0,0.5644
1,12,0,0.8138
1,8,8,0.9918
1,0,0,0.5065
1,0,0,0.6056
1,61,0,0.6425
1,0,0,0.549
1,14,50,1.142
1,0,0,0.4403
1,0,0,0.8304
1,0,0,1.0922
1,0,0,0.7756
1,59,35,1.0675
1,0,0,0.5017
1,0,0,0.6178
1,0,0,0.7486
1,0,0,0.7777
1,15,13,1.2399
1,47,47,0.8721
1,26,26,0.7218
1,22,50,0.8637
1,12,0,1.024
1,0,0,0.4189
1,0,0,0.4728
1,0,47,1.5108
1,37,37,1.0573
1,7,7,1.0996
1,0,0,0.5643
1,0,0,0.4518
1,0,0,0.5483
1,18,18,1.4288
1,0,0,0.4105
1,48,48,0.9399
1,0,0,0.4459
1,40,40,0.6701
1,15,0,0.4224
1,0,8,0.8819
1,0,0,0.679
1,0,0,0.5323
1,0,0,0.3307
1,0,0,0.3126
1,0,0,0.3179
1,14,14,1.2549
1,35,35,1.0588
1,0,0,0.4646
1,0,9,1.6401
1,49,49,0.8246
1,0,0,0.5226
1,0,0,0.3593
1,0,0,1.0779
1,4,4,0.8706
1,0,0,0.458
1,0,0,0.4642
1,48,48,0.7382
1,0,50,0.6845
1,5,5,1.1132
1,0,0,0.4904
1,0,0,0.5517
1,0,0,0.3106
1,0,0,0.3025
1,0,0,0.3423
1,32,32,0.4882
1,0,0,0.377
1,42,42,1.0247
1,0,0,0.337
1,18,18,0.9819
1,3,3,0.7549
1,0,0,0.4433
1,3,3,0.8197
1,44,0,0.4822
1,0,0,0.3379
1,0,0,0.3605
1,0,0,0.5183
1,26,26,1.0667
1,43,43,0.9376
1,0,0,0.3447
1,0,0,0.2887
1,0,0,0.4249
1,0,0,0.359
1,47,47,0.9204
1,55,55,0.8776
1,5,5,0.913
1,0,0,0.3588
1,28,0,0.4011
1,0,0,0.3286
1,34,34,0.8024
1,0,0,0.6925
1,3,3,0.6961
1,0,0,0.3438
1,0,7,1.0034
1,44,0,0.2584
1,21,0,0.5278
1,0,0,0.5002
1,0,0,0.4687
1,0,0,0.8845
1,0,0,0.6067
1,43,43,0.963
1,6,6,1.5606
1,0,0,0.6085
1,12,12,1.3794
1,0,0,0.436
1,0,20,0.9305
1,17,17,0.6733
1,0,0,0.3643
1,7,7,0.9097
1,0,0,0.4186
1,0,0,0.4572
1,39,1,0.752
1,22,0,0.882
1,56,3,0.6554
1,0,0,0.5027
1,56,0,0.373
1,44,44,0.7608
1,46,46,0.8286
1,58,0,0.4652
1,0,0,0.343
1,32,32,0.8408
1,38,38,0.6381
1,42,42,0.7412
1,5,8,1.0331
1,36,36,0.984
1,51,0,0.497
1,0,0,0.4706
1,0,0,0.59
1,46,46,0.9495
1,0,0,0.5026
1,26,26,0.7467
1,0,0,0.5082
1,4,4,0.6637
1,0,0,0.3412
1,0,0,0.6315
1,47,47,0.7036
1,20,20,0.8128
1,6,0,0.59
1,2,2,0.6872
1,0,0,0.4039
1,0,0,0.4427
1,0,0,0.7685
1,0,0,0.5894
1,0,27,1.1185
1,0,0,0.8565
1,21,21,0.6402
1,23,23,0.8281
1,6,6,1.1276
1,15,15,0.7505
1,52,0,0.5578
1,0,0,0.8588
1,55,19,1.328
1,43,0,0.556
1,3,41,1.0641
1,22,0,1.0166
1,0,0,0.7605
1,13,0,0.4271
1,17,50,1.0432
1,41,0,0.5283
1,0,0,0.8437
1,0,0,0.4021
1,0,0,0.3564
1,0,0,0.4829
1,0,0,0.4884
1,37,0,0.6941
1,0,0,0.4801
1,60,0,0.6042
1,0,0,0.6019
1,0,0,0.5721
1,19,19,0.9202
1,0,0,0.5259
1,0,0,0.4305
1,19,19,0.911
1,0,0,0.664
1,0,0,0.4267
1,22,22,0.98
1,52,52,0.7941
1,0,0,0.3721
1,13,13,1.3194
1,0,0,0.3726
1,0,0,0.4226
1,0,0,0.5467
1,0,0,0.8858
1,0,0,0.5922
1,0,0,0.568
1,0,0,0.464
1,0,0,0.4322
1,18,18,0.9649
1,0,0,0.3944
1,22,22,0.9138
1,48,48,0.8624
1,29,29,0.9141
1,52,52,0.8636
1,26,26,0.7865
1,16,16,1.0119
1,0,0,0.5221
1,49,49,0.75
1,15,15,0.7965
1,39,39,0.6063
1,38,0,0.4401
1,0,0,0.3964
1,0,0,0.3565
1,0,0,0.5189
1,0,0,0.291
1,0,0,0.3067
1,6,0,0.3048
1,0,0,0.5421
1,4,10,1.5222
1,42,7,0.8311
1,20,20,0.806
1,0,0,0.4102
1,0,0,0.3787
1,3,3,0.7998
1,29,29,0.6606
1,0,0,0.7557
1,0,0,0.4932
1,0,0,0.506
1,0,25,1.2137
1,0,0,0.4589
1,0,0,0.4142
1,0,5,1.081
1,0,7,0.9139
1,0,0,0.2562
1,35,35,1.3472
1,5,50,0.7441
1,48,48,0.5898
1,34,34,0.8584
1,0,0,0.689
1,56,0,0.6756
1,0,0,0.8404
1,0,0,0.6396
1,0,0,0.3628
1,48,48,0.7106
1,0,0,0.6928
1,40,40,0.6713
1,32,32,0.6888
1,0,0,0.4015
1,0,60,1.3457
1,47,47,0.7172
1,47,47,0.7617
1,0,0,0.368
1,44,44,1.0844
1,43,43,1.6369
1,34,34,0.7024
1,0,0,0.4141
1,0,0,0.2852
1,0,0,0.2774
1,0,0,0.3711
1,0,0,0.2688
1,59,0,0.2962
1,3,3,0.6955
1,19,19,0.9116
