session,location,response_location,reaction_time
1,1,1,0.6783
1,0,2,0.7817
1,0,9,0.6639
1,0,0,0.4748
1,11,11,0.8329
1,0,0,0.8199
1,10,10,0.6561
1,11,11,0.4629
1,0,0,0.5213
1,15,15,0.7744
1,9,9,0.5564
1,0,0,0.505
1,1,1,0.523
1,9,9,0.6183
1,0,0,0.3229
1,0,0,0.3687
1,15,15,0.6008
1,0,0,0.3802
1,0,0,0.6846
1,14,14,0.5181
1,2,2,0.668
1,14,14,0.7709
1,0,0,0.6708
1,0,10,1.1763
1,0,0,0.3248
1,2,2,0.501
1,2,2,0.6856
1,0,0,0.3785
1,15,15,0.7659
1,10,10,0.73
1,2,2,0.594
1,0,0,0.3826
1,14,14,0.8412
1,2,2,0.9313
1,0,0,0.3082
1,1,1,0.6819
1,0,0,1.225
1,15,15,0.7301
1,0,0,0.4466
1,0,0,1.1527
1,15,15,0.6317
1,15,15,0.6034
1,0,0,0.3008
1,11,11,0.4152
1,1,1,0.5242
1,1,1,0.4323
1,2,0,0.3922
1,15,15,0.4963
1,0,0,0.4546
1,0,0,0.4903
1,1,1,0.4844
1,14,0,0.7336
1,0,0,0.5868
1,9,9,0.803
1,0,0,0.5709
1,0,0,0.4984
1,0,0,0.3705
1,0,0,0.6061
1,2,2,0.4528
1,15,15,0.5731
1,15,15,0.6902
1,10,10,0.6609
1,15,15,0.6472
1,10,10,0.5287
1,0,0,1.2557
1,11,15,1.6344
1,1,1,0.4032
1,0,0,0.3472
1,2,2,0.626
1,0,0,0.5627
1,9,9,0.4991
1,0,0,0.4533
1,0,0,0.4156
1,9,0,0.399
1,15,15,0.8202
1,0,0,0.4365
1,0,0,0.6502
1,0,0,0.6198
1,0,0,0.5102
1,0,0,0.3242
2,0,0,0.6483
2,0,0,0.4689
2,0,0,0.63
2,10,10,0.6626
2,9,9,0.7297
2,0,0,0.506
2,15,15,0.6952
2,2,2,0.6844
2,0,0,0.7562
2,9,9,0.8498
2,0,0,0.4581
2,9,9,0.7148
2,9,9,0.9615
2,0,0,0.7063
2,10,10,0.5962
2,0,0,0.4268
2,0,0,0.4149
2,0,0,0.448
2,0,0,1.0125
2,0,0,0.4718
2,0,0,0.3662
2,0,0,0.4679
2,0,0,0.6418
2,9,9,0.8046
2,0,0,0.47
2,2,2,0.742
2,9,9,0.5945
2,0,0,0.454
2,0,0,0.4125
2,10,10,0.9086
2,2,2,0.9311
2,14,14,0.6725
2,2,2,0.7306
2,11,0,0.7135
2,0,0,0.7198
2,9,9,0.4703
2,0,0,0.4389
2,0,0,0.3385
2,0,0,0.5346
2,15,15,0.709
2,11,11,0.7823
2,0,0,0.3934
2,0,0,0.2923
2,1,1,0.4981
2,0,0,0.2951
2,10,10,0.8017
2,1,1,0.5161
2,11,11,0.7599
2,0,0,0.3304
2,0,0,0.287
2,0,0,0.278
2,0,0,0.2828
2,0,0,0.2587
2,0,0,0.3482
2,0,0,0.2168
2,14,14,0.8195
2,0,0,0.2922
2,0,0,0.342
2,9,9,0.6008
2,9,9,0.7079
2,0,0,0.5862
2,0,0,0.382
2,0,0,0.4139
2,0,0,0.2246
2,2,2,0.7557
2,14,14,0.9199
2,15,15,0.6777
2,14,14,0.6628
2,0,0,0.2708
2,10,0,0.343
2,2,2,0.6766
2,0,0,0.2457
2,10,10,0.6004
2,15,15,0.5945
2,0,0,0.3569
2,0,0,0.2482
2,2,2,0.9447
2,9,9,0.5648
2,0,0,0.2426
2,0,0,0.2488
1,1,1,0.5366
1,9,9,0.7879
1,0,0,0.3862
1,0,0,0.5805
1,0,0,0.6227
1,0,0,0.4848
1,10,10,0.6357
1,0,0,0.5161
1,0,0,0.5292
1,0,0,0.4443
1,0,0,0.5521
1,14,14,0.8078
1,0,0,0.4606
1,0,0,0.7526
1,0,0,0.8785
1,0,0,0.764
1,0,0,0.5083
1,14,14,0.7737
1,2,2,0.733
1,0,0,0.5526
1,0,0,0.4569
1,0,0,0.6426
1,14,0,0.6026
1,0,0,0.4386
1,1,1,0.562
1,10,10,0.7987
1,2,2,0.701
1,11,11,0.5831
1,0,0,0.5521
1,2,2,0.8511
1,0,0,0.4225
1,1,1,1.3811
1,9,9,0.6367
1,11,11,0.4938
1,11,11,0.6165
1,0,14,0.9085
1,14,0,0.8747
1,1,1,0.6013
1,14,14,0.7928
1,1,1,0.5728
1,2,2,0.6185
1,1,1,0.8285
1,0,0,0.4508
1,14,14,0.4966
1,9,9,0.8066
1,0,0,0.324
1,2,2,0.6326
1,0,0,0.2808
1,0,0,0.29
1,11,11,0.6006
1,0,0,0.2722
1,0,0,0.2489
1,1,1,0.4017
1,0,0,0.3424
1,0,0,0.2901
1,0,0,0.2427
1,1,1,0.5637
1,0,0,0.3049
1,10,0,0.6181
1,0,0,0.4738
1,2,2,0.6092
1,1,1,0.5248
1,0,0,0.3886
1,0,0,0.455
1,0,0,0.395
1,0,0,0.6161
1,0,0,0.5508
1,10,10,0.4828
1,11,11,0.6231
1,0,14,1.2006
1,0,0,0.2681
1,9,9,0.5752
1,10,10,0.6368
1,15,15,0.4992
1,10,10,0.5643
1,11,11,0.6113
1,9,9,0.5596
1,15,15,0.5041
1,10,10,0.7915
1,0,0,0.5592
2,15,15,0.728
2,0,0,0.3455
2,2,2,0.5733
2,0,0,0.4012
2,0,0,0.4027
2,0,0,0.4002
2,0,0,0.4183
2,14,14,0.8548
2,0,0,0.2967
2,11,11,0.6306
2,0,0,0.399
2,0,0,0.369
2,14,14,0.7876
2,9,9,0.9902
2,15,15,0.5588
2,0,0,0.3474
2,10,10,0.7066
2,0,0,0.3047
2,0,0,0.3511
2,15,15,0.8517
2,2,0,0.3331
2,11,11,0.6729
2,0,0,0.2824
2,2,0,0.4401
2,0,0,0.369
2,1,1,0.43
2,1,1,0.5928
2,0,0,0.3521
2,0,0,0.3502
2,0,0,0.5721
2,9,9,0.5743
2,11,11,0.5406
2,0,0,0.3508
2,0,0,0.362
2,10,10,0.9076
2,14,14,0.6623
2,0,0,0.4666
2,0,0,0.4611
2,14,14,0.6307
2,0,0,0.295
2,10,10,0.5858
2,0,0,0.2428
2,0,0,0.3
2,1,1,0.4508
2,0,0,0.2646
2,0,0,0.221
2,10,10,0.5838
2,0,0,0.2823
2,11,11,0.5946
2,9,9,0.7665
2,0,0,0.4646
2,10,10,0.8242
2,15,15,0.634
2,14,14,0.6186
2,0,0,0.3907
2,10,10,0.8817
2,1,1,0.4808
2,1,1,0.5601
2,0,0,0.5721
2,2,2,0.6341
2,0,0,0.449
2,9,9,1.0169
2,0,0,0.3071
2,10,10,0.4906
2,1,1,0.4728
2,0,0,0.2984
2,15,15,0.4561
2,0,0,0.2819
2,0,0,0.3091
2,0,0,0.334
2,10,10,0.6552
2,10,10,0.5729
2,0,0,0.3047
2,14,0,0.3925
2,0,0,0.2289
2,10,10,0.4682
2,14,14,0.478
2,0,0,0.2682
2,1,1,0.4881
2,11,11,0.6177
1,14,14,0.7847
1,14,14,0.6491
1,0,0,0.3258
1,10,10,1.0564
1,1,1,0.6075
1,14,14,0.795
1,2,2,0.5589
1,1,1,0.5269
1,0,0,0.4765
1,0,0,0.3581
1,0,0,0.807
1,0,0,0.4594
1,0,0,0.3711
1,10,10,0.7509
1,0,0,0.6375
1,0,1,0.9816
1,0,0,0.421
1,2,2,0.3911
1,15,15,0.5749
1,11,11,0.6072
1,11,11,0.6743
1,0,0,0.6064
1,1,1,0.8499
1,0,0,0.4182
1,1,1,0.5456
1,1,1,0.481
1,15,15,0.544
1,10,10,0.7686
1,2,2,0.517
1,11,11,0.8174
1,9,9,0.7636
1,0,0,0.6927
1,15,15,0.6582
1,0,0,0.4061
1,1,1,0.5516
1,0,0,0.3607
1,9,9,0.6523
1,10,10,0.516
1,0,0,0.343
1,0,0,0.4869
1,11,11,0.4558
1,2,2,0.4091
1,14,0,0.2927
1,0,0,0.2685
1,2,2,0.6574
1,0,0,0.563
1,15,15,0.669
1,2,2,0.6594
1,9,9,0.5597
1,14,14,0.6902
1,0,0,0.3731
1,14,14,0.4877
1,15,15,0.7285
1,2,2,0.4382
1,2,2,0.3954
1,14,14,1.1739
1,0,0,0.3327
1,0,0,0.26
1,9,9,0.5109
1,0,0,0.2802
1,0,0,0.2643
1,0,0,0.3639
1,0,0,0.3329
1,9,9,0.5624
1,11,11,0.5335
1,15,15,0.6829
1,0,0,0.3286
1,10,10,0.5392
1,9,9,0.6381
1,0,0,0.4752
1,15,15,0.7247
1,0,0,0.346
1,11,11,0.6283
1,1,1,0.5042
1,2,2,0.6087
1,14,14,0.5165
1,15,15,0.6513
1,0,0,0.3083
1,0,0,0.4386
1,9,9,0.5849
2,2,2,0.8085
2,14,14,0.5984
2,0,0,0.3378
2,15,15,0.5052
2,10,10,0.9124
2,11,11,0.6395
2,10,10,0.5781
2,0,0,0.4629
2,0,0,0.4547
2,1,1,0.6322
2,0,15,0.9573
2,2,2,0.5893
2,15,15,0.5837
2,15,15,0.5383
2,14,14,0.5307
2,0,0,0.4966
2,14,14,0.7319
2,10,10,0.7822
2,0,0,0.4181
2,0,0,0.3207
2,0,0,0.3303
2,0,0,0.2893
2,15,15,0.5445
2,0,0,0.2868
2,0,0,0.3125
2,15,15,0.9013
2,15,15,0.4622
2,1,1,0.799
2,11,0,0.355
2,15,15,0.7923
2,2,0,0.4404
2,0,0,0.2943
2,1,1,0.5467
2,14,14,0.4538
2,0,0,0.3256
2,2,2,0.7401
2,0,0,0.3552
2,0,0,0.3352
2,1,1,0.4773
2,0,0,0.4745
2,0,0,0.2849
2,10,10,0.4205
2,9,9,0.6146
2,0,0,0.2808
2,10,10,0.639
2,0,0,0.3533
2,1,1,0.518
2,2,2,0.6686
2,0,0,0.5281
2,0,0,0.2748
2,0,0,0.2962
2,14,14,1.1116
2,2,2,0.7744
2,0,0,0.2738
2,0,0,0.2262
2,0,0,0.2114
2,0,0,0.2623
2,15,15,0.8523
2,10,10,0.6849
2,0,0,0.2464
2,14,14,0.6418
2,0,0,0.2501
2,14,0,0.2022
2,0,15,0.7548
2,0,0,0.2322
2,0,0,0.2501
2,9,9,0.6507
2,2,2,0.5227
2,0,0,0.2484
2,0,0,0.4002
2,0,0,0.1885
2,0,0,0.4319
2,0,0,0.202
2,15,15,0.659
2,0,0,0.2507
2,0,0,0.2522
2,0,0,0.2353
2,1,1,0.5982
2,0,0,0.2422
2,11,11,0.7401
1,0,0,0.6877
1,0,0,0.3426
1,1,1,0.4343
1,0,0,0.309
1,0,0,0.2572
1,15,0,0.4965
1,0,0,0.3583
1,14,14,0.5164
1,15,15,0.6053
1,9,9,0.6066
1,0,0,0.3762
1,0,0,0.4011
1,9,9,0.5106
1,0,0,0.3367
1,2,0,0.7052
1,9,0,0.4608
1,15,15,0.6954
1,15,15,0.7125
1,10,10,0.5068
1,0,0,0.3985
1,0,0,0.5494
1,0,0,0.3261
1,0,0,0.3644
1,0,0,0.283
1,0,0,0.2085
1,0,0,0.2052
1,11,11,0.6429
1,2,2,0.5753
1,9,9,0.3894
1,1,1,0.4631
1,0,0,0.2978
1,0,0,0.2775
1,0,0,0.3621
1,15,15,0.4921
1,11,11,0.4525
1,10,10,0.8598
1,10,10,0.5089
1,2,2,0.5877
1,0,0,0.3108
1,14,14,0.6318
1,2,2,0.5527
1,10,10,0.4053
1,0,0,0.3282
1,0,0,0.2725
1,10,10,1.2536
1,0,0,0.3461
1,0,0,0.3563
1,0,0,0.2762
1,11,11,0.5805
1,0,0,0.3945
1,2,2,0.4702
1,0,0,0.3406
1,10,10,0.4586
1,0,0,0.4165
1,14,14,0.7388
1,0,0,0.3532
1,14,14,0.4978
1,0,0,0.353
