session,location,response_location,reaction_time
1,0,0,0.6982
1,11,11,0.7702
1,0,0,0.454
1,0,0,0.4281
1,0,0,0.6189
1,0,0,0.4154
1,10,10,0.902
1,0,9,0.9237
1,0,9,0.965
1,11,0,0.3498
1,2,2,0.7071
1,2,2,0.695
1,0,0,0.3869
1,9,9,0.8579
1,15,0,0.2921
1,2,2,0.6888
1,9,9,0.588
1,14,0,0.7667
1,1,1,0.7122
1,0,0,0.3402
1,0,0,0.3508
1,14,0,0.3619
1,2,2,0.8338
1,0,0,0.29
1,2,2,0.672
1,0,0,0.3294
1,11,11,0.6284
1,15,15,0.8198
1,0,0,0.5083
1,0,0,0.2881
1,0,0,0.4222
1,10,10,0.6043
1,15,15,0.8845
1,14,14,0.6864
1,0,0,0.3887
1,0,0,0.3323
1,0,0,0.2984
1,0,0,0.3905
1,15,0,0.9226
1,0,0,0.3022
1,11,11,0.8957
1,14,14,0.7579
1,1,1,0.5311
1,14,14,0.8339
1,1,1,0.5118
1,0,0,0.614
1,0,0,0.3083
1,0,0,0.3819
1,0,0,0.2741
1,1,1,0.5022
1,0,0,0.2979
1,0,0,0.2786
1,2,2,0.5486
1,2,2,0.7403
1,9,9,0.8431
1,0,0,0.3218
1,0,0,0.2581
1,0,0,0.3325
1,9,9,0.5684
1,0,0,0.284
2,0,0,0.3765
2,0,0,0.2746
2,1,1,0.5349
2,0,0,0.2327
2,0,0,0.5362
2,0,0,0.2343
2,0,15,0.6919
2,14,14,0.4888
2,0,0,0.1668
2,2,2,0.7546
2,10,10,0.5502
2,0,0,0.3878
2,11,11,0.6709
2,9,9,0.7944
2,1,1,0.5722
2,0,0,0.2544
2,0,0,0.286
2,0,0,0.2922
2,0,0,0.4002
2,2,2,0.7437
2,0,0,0.2845
2,0,0,0.2771
2,0,0,0.4299
2,1,1,0.5675
2,14,0,0.2584
2,0,0,0.2403
2,0,0,0.2729
2,0,0,0.3014
2,0,0,0.2361
2,11,11,0.6203
2,2,2,0.7999
2,2,2,0.588
2,0,0,0.3365
2,0,0,0.2902
2,0,0,0.2419
2,10,10,0.7319
2,0,0,0.2846
2,0,0,0.226
2,1,1,0.518
2,1,1,0.5304
2,0,0,0.2308
2,0,0,0.3021
2,0,0,0.4261
2,0,15,0.9542
2,10,10,0.5741
2,14,14,0.7702
2,9,9,0.7512
2,0,0,0.1959
2,11,11,0.6761
2,15,0,0.62
2,14,14,0.6585
2,1,1,0.4666
2,0,0,0.3768
2,0,0,0.2923
2,0,0,0.2182
2,0,0,0.2603
2,0,0,0.348
2,0,0,0.2604
2,15,15,0.7384
2,0,0,0.2402
1,15,15,0.8003
1,0,0,0.5278
1,1,1,0.8283
1,10,10,0.8444
1,0,0,0.518
1,9,11,0.7152
1,0,0,0.3507
1,0,0,0.4702
1,0,0,0.3155
1,0,0,0.3282
1,0,0,0.339
1,0,0,0.3284
1,0,0,0.278
1,0,1,0.7486
1,0,0,0.286
1,0,0,0.2826
1,0,0,0.2922
1,0,0,0.346
1,0,0,0.3001
1,2,2,0.6324
1,0,10,1.1042
1,0,0,0.3648
1,0,0,0.2788
1,0,0,0.4605
1,0,0,0.3032
1,0,0,0.2685
1,2,2,1.0192
1,14,0,0.2585
1,1,1,0.5627
1,0,0,0.4446
1,0,0,0.312
1,0,0,0.2583
1,0,0,0.2818
1,0,0,0.2848
1,0,0,0.3403
1,11,11,0.6779
1,11,11,0.6601
1,15,15,0.8257
1,0,0,0.2821
1,0,0,0.2841
1,1,1,0.588
1,11,11,0.6778
1,1,1,0.5578
1,0,0,0.4222
1,0,0,0.3163
1,15,15,0.672
1,0,0,0.2622
1,2,2,1.1327
1,10,10,0.9929
1,10,0,0.3777
1,11,11,0.598
1,1,1,0.6657
1,14,0,0.4978
1,0,0,0.6216
1,11,11,0.5409
1,0,0,0.2626
1,9,0,0.3352
1,0,0,0.316
1,11,0,0.2882
1,2,2,0.6921
2,11,11,0.4828
2,0,0,0.183
2,1,1,0.4441
2,11,11,0.9275
2,11,11,0.7026
2,1,1,0.5175
2,0,0,0.2844
2,0,0,0.235
2,0,0,0.2427
2,10,10,0.6859
2,14,14,0.6606
2,0,0,0.2828
2,2,2,0.7677
2,0,0,0.3001
2,1,1,0.4992
2,10,10,0.6725
2,0,0,0.1989
2,0,0,0.1789
2,10,10,0.462
2,11,11,0.7244
2,15,15,0.7445
2,0,0,0.3982
2,14,14,0.7499
2,0,0,0.3418
2,0,1,0.6266
2,0,0,0.2923
2,2,2,0.769
2,0,0,0.2344
2,0,0,0.2364
2,14,14,0.7
2,0,0,0.2743
2,2,2,0.7977
2,1,1,0.6018
2,9,9,0.8257
2,1,1,0.6182
2,10,10,0.6504
2,14,0,0.2806
2,0,0,0.2245
2,0,0,0.2823
2,11,11,0.8312
2,14,14,0.7447
2,11,11,1.0054
2,0,0,0.2722
2,0,0,0.2081
2,14,0,0.2581
2,11,11,0.6431
2,0,0,0.3281
2,11,11,0.8364
2,11,11,0.6928
2,0,0,0.2862
2,10,10,0.8246
2,0,0,0.3565
2,9,9,0.7819
2,0,0,0.6646
2,10,10,0.726
2,14,14,0.6608
2,0,0,0.3099
2,0,0,0.347
2,0,0,0.3322
2,15,15,0.7382
1,0,0,0.4121
1,0,0,0.3683
1,1,1,0.5886
1,9,9,0.9341
1,11,11,0.7282
1,0,0,0.7483
1,11,11,0.8465
1,0,0,0.4632
1,0,0,0.3726
1,0,0,0.334
1,0,0,0.4981
1,14,0,0.3366
1,15,9,0.8129
1,10,10,0.6378
1,14,0,0.3081
1,0,0,0.5581
1,0,0,0.4748
1,0,10,1.1914
1,0,10,0.808
1,0,0,0.5368
1,0,0,0.3161
1,2,2,0.8263
1,11,11,0.8488
1,10,10,0.5522
1,0,0,0.2789
1,0,0,0.248
1,1,1,0.5573
1,0,0,0.383
1,0,0,0.3082
1,0,0,0.2886
1,10,10,0.6431
1,0,0,0.3769
1,0,0,0.2706
1,9,9,0.8297
1,0,0,0.299
1,11,11,0.9697
1,15,15,0.6761
1,0,0,0.3394
1,9,9,0.5481
1,0,0,0.2709
1,14,0,0.221
1,0,0,0.2867
