session,location,response_location,reaction_time
1,0,0,0.8048
1,0,0,0.6901
1,0,9,0.6818
1,15,15,0.551
1,1,0,0.4812
1,0,0,0.9408
1,0,0,0.6425
1,0,0,1.5281
1,0,0,0.5695
1,10,10,0.6168
1,0,10,0.8604
1,14,14,0.6122
1,0,0,0.4578
1,9,9,0.5741
1,0,0,0.4379
1,1,9,1.2372
1,15,15,0.5107
1,2,2,0.6388
1,2,0,0.4045
1,0,0,0.8284
1,0,0,0.4119
1,15,15,0.7743
1,10,10,0.4566
1,15,15,0.4691
1,0,0,0.8836
1,11,9,1.4565
1,0,0,0.4373
1,15,0,0.489
1,1,10,0.6988
1,0,0,0.3241
1,10,10,0.6091
1,0,0,0.3425
1,1,0,0.3099
1,0,0,0.4179
1,15,15,0.5542
1,2,2,0.6283
1,2,2,0.5112
1,0,0,0.3061
1,0,0,0.3439
1,9,9,0.6366
1,1,1,0.6313
1,0,0,0.3208
1,1,1,0.5585
1,2,2,0.4943
1,0,0,0.3781
1,0,0,0.3002
1,14,14,0.5417
1,0,0,0.2688
1,0,0,0.1847
1,0,0,0.2408
1,0,0,0.2781
1,0,0,0.228
1,14,14,0.8123
1,0,0,0.3062
1,0,0,0.2639
1,0,0,0.214
1,11,11,0.5376
1,9,9,0.5611
1,1,1,0.4689
1,0,9,0.6661
1,0,0,0.4932
1,0,0,0.2862
1,14,14,0.358
1,14,14,0.6013
1,14,14,0.3218
1,0,9,0.4818
1,0,0,0.3874
1,0,0,0.3028
1,0,0,0.2585
1,11,11,0.5399
1,0,11,0.7806
1,9,9,0.7636
1,1,1,0.4367
1,2,2,0.4926
1,0,0,0.6798
1,0,0,0.4534
1,15,15,0.5485
1,0,11,0.3945
1,0,0,0.268
1,0,0,0.7286
2,0,0,0.3889
2,0,0,0.2826
2,14,14,0.7488
2,0,0,0.3212
2,9,9,0.6368
2,0,0,0.2749
2,0,0,0.5025
2,9,9,0.5459
2,9,9,0.5622
2,14,14,0.6379
2,0,9,0.549
2,0,9,0.565
2,0,0,0.7525
2,11,11,0.7125
2,0,0,0.2542
2,14,14,0.5601
2,0,10,1.2085
2,1,0,0.4707
2,1,0,0.9118
2,0,0,0.8565
2,15,15,0.5544
2,0,0,0.4866
2,9,9,0.8759
2,0,0,0.3359
2,11,11,1.026
2,0,0,0.4184
2,0,0,0.5146
2,0,0,0.5245
2,0,0,0.7668
2,0,0,0.5045
2,0,0,0.4619
2,2,0,0.4247
2,0,11,0.684
2,10,10,0.5968
2,9,9,0.4544
2,0,0,0.4104
2,10,10,0.5462
2,0,0,0.342
2,0,0,0.3024
2,9,9,0.588
2,14,14,0.5682
2,0,0,0.3627
2,11,11,0.3394
2,0,0,0.254
2,15,0,0.7499
2,0,0,0.2189
2,1,1,0.4271
2,0,0,0.2169
2,11,11,0.3739
2,15,15,0.5261
2,1,1,0.386
2,0,0,0.2579
2,10,10,0.5176
2,0,0,0.2785
2,14,14,0.5531
2,2,2,0.4576
2,10,10,0.5497
2,0,0,0.3039
2,9,9,0.3926
2,0,0,0.3087
2,0,0,0.2399
2,9,9,0.5576
2,11,11,0.5148
2,0,0,0.5522
2,0,0,0.8238
2,1,1,0.7211
2,0,9,0.8879
2,0,0,0.3485
2,14,14,0.9159
2,9,9,0.7879
2,10,10,1.1103
2,11,11,0.5181
2,14,14,0.4494
2,15,0,0.3018
2,1,1,0.481
2,0,0,0.8606
2,2,2,0.4607
2,15,15,0.418
2,0,0,0.2812
2,9,9,0.4922
1,11,11,0.6082
1,2,2,0.4777
1,1,1,0.8723
1,14,14,0.7463
1,0,0,0.9498
1,0,10,0.7918
1,0,0,0.7738
1,0,0,0.3699
1,11,11,0.5204
1,0,9,0.6903
1,1,0,0.3441
1,0,0,0.7803
1,2,2,0.6599
1,14,14,0.4977
1,0,14,1.5604
1,14,14,0.3916
1,9,9,0.4264
1,2,2,0.5496
1,0,2,1.182
1,0,0,0.4131
1,9,9,0.5497
1,0,0,0.2939
1,0,0,0.279
1,0,9,0.7961
1,2,2,0.4927
1,14,14,0.4482
1,0,0,0.3492
1,2,2,0.4794
1,14,14,0.6982
1,0,10,1.1254
1,9,9,0.349
1,11,11,1.1039
1,0,0,0.7643
1,0,0,0.4644
1,0,10,1.0242
1,0,0,0.3777
1,0,0,0.3718
1,0,0,0.3228
1,14,14,0.7061
1,0,0,0.3167
1,1,1,0.4871
1,11,11,0.4435
1,0,0,0.2806
1,1,1,0.322
1,0,0,0.2851
1,9,9,0.8603
1,0,0,0.2084
1,0,0,0.282
1,0,0,0.4909
1,0,0,0.3948
1,11,11,0.5349
1,0,0,0.3362
